﻿ID;Numéro;Secteur;Photo du plan;URL;Département;Taille du fichier (Mo);Date de publication;Format
37;37;Pays de Limours;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/471ea4e308f029cdfa7c5faedcec1c9d;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan37.pdf;77,91;2.1;2018-04;pdf
38;38;Saint-Quentin-en-Yvelines;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/7065fda2606d4d6030dc2ecff9cb1e8f;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan38.pdf;78;5.9;2024-04;pdf
39;39;Secteur Plaine de Versailles;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/d18c48101d00788f8303a1e67f29d477;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan39.pdf;78;5.2;2016-09;pdf
40;40;Secteur Saint-Germain-en-Laye;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/3b8c023616987f8c5748b077e05f621d;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan40.pdf;78;18.1;2024-12;pdf
41;41;Poissy - Verneuil-sur-Seine;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/72d11e9d30481e0f8f940da5ccab3a7d;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan41.pdf;78;13.9;2025-09;pdf
42;42;Secteur de Cergy-Pontoise;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/8b8a8752a2becff22b86d7a35d7975f2;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan42.pdf;95;3.4;2024-05;pdf
43;43;Secteur Roissy Nord;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/14d377908d7d8b11a4073304fa176195;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan43.pdf;95;3.9;2019-12;pdf
44;44;Secteur Roissy Sud-Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/911e016fc429719949a458b6ea164b58;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan44.pdf;77;3.9;2019-12;pdf
45;45_1;Bassin de Marne-la-Vallée - Général;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/350d0eb133889e22e49b06cf890f4585;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan45-1.pdf;77;2.8;2026-04;pdf
46;45_2;Bassin de Marne-la-Vallée - Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/6eeb026d5e3e223d9097f65d134465a4;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan45-2.pdf;77;2.4;2024-04;pdf
47;45_3;Bassin de Marne-la-Vallée - Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/8af47a380ec7647cb137d40b61f71a07;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan45-3.pdf;77;2.9;2024-04;pdf
48;46_1;Bassin de Tournan-en-Brie - Secteur Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/f979058f2643cec042615b48bd812762;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan46-1.pdf;77;3.3;2020-09;pdf
49;46_2;Bassin de Tournan-en-Brie - Secteur Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/af2c9afbe176d96078f0d562dbcf0c99;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan46-2.pdf;77;2.4;2020-09;pdf
50;47;Secteur Sénart;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/6979076b9df3c497d466edd798c532bb;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan47.pdf;77;4.1;2025-01;pdf
51;48;Val d'Essonne;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/15849f5dfe23d1490a97509657af6e26;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan48.pdf;91;6.3;2023-07;pdf
52;49;Arpajon;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/22ee61fdd64a7b7ae19157478ecd4a28;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan49.pdf;91;2.3;2025-01;pdf
53;50;En cours de réalisation;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/1d466a4a8a689a094d9af2688ca0dc28;INDISPONIBLE;78;;;pdf
54;51;Les Mureaux;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/714d9b4b04151233b35a6747136c7ea3;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan51.pdf;78,95;16;2025-09;pdf
55;52;Roissy Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/b94e1604a2e2e9f84afc1807d84e8991;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan52.pdf;77;8.1;2025-10;pdf
56;53;Pays de Meaux;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/cf1aeda50a4f0139e9c67c759f343fb9;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan53.pdf;77;2;2025-08;pdf
57;54;Secteur du Pays Créçois;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/e66f61163da0e0d9c1159daa5aaf3706;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan54.pdf;77;1.6;2025-09;pdf
58;55;Secteur Mormant Verneuil-l'Etang;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/71224bf3cbd4163f39eb4beb0b7bc943;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan55.pdf;77;4.2;2026-01;pdf
59;56;Secteur Melun;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/efb76ec8befdad271d9209a60482ba55;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan56.pdf;77;3.5;2026-03;pdf
60;57;Secteur de Milly-la-Forêt;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/8de52a14ae82946934175f9075897365;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan57.pdf;77,91;3.3;2020-09;pdf
61;58;Secteur d'Etampes;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/0534e7bf254ff69adcc8bb7f4eccbbe8;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan58.pdf;91;6.2;2021-09;pdf
62;59;Secteur Dourdan;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/be8b533bd2c677cb57e10b34b93593e6;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan59.pdf;91;3;2020-09;pdf
63;60;Secteur Rambouillet;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/4fe987027ba185ae8793c4fefec6f0fd;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan60.pdf;78;6;2020-09;pdf
64;61;Secteur Houdan;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/5f9f6a17b9ae9cf74cf449163905462c;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan61.pdf;78;9.9;2025-10;pdf
65;62;Secteur du Mantois;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/24b67ce8d2e1d495495798147a669b57;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan62.pdf;78;9.4;2025-09;pdf
66;63;Secteur du Vexin;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/6eec8db89c08f913b11697669bd01e69;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan63.pdf;95,78;3;2024-06;pdf
67;64;Secteur Haut Val d'Oise;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/c3b9eb24e68918ace3517fdf6bd172a4;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan64.pdf;95;5.5;2019-12;pdf
68;65;Pays de l'Ourcq;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/23015cc0347bcc0e4598f65a941f9a68;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan65.pdf;77;1.3;2025-08;pdf
69;66;Pays Fertois;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/86011833aa042beae9e0269885896321;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan66.pdf;77;2.3;2025-09;pdf
70;67;Secteur Coulommiers;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/128e2af786feaf70a554689c5c0ec899;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan67.pdf;77;2;2025-09;pdf
71;68;Secteur de Provins;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/5673d953bcd6a12ecdec29784bf8552e;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan68.pdf;77;3.6;2024-07;pdf
72;69;Secteur de Fontainebleau;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/6dbf0926f4cf5cc2b7c738b9a60d24ad;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan69.pdf;77;0.8;2021-01;pdf
73;70;Secteur Montereau-Fault-Yonne;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/83a696321e23907d5158e18be68de4be;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan70.pdf;77;1.6;2024-09;pdf
74;71;Moret Seine et Loing;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/d4aeb956c7e0398a0334306c4cef9f2e;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan71.pdf;77;1.8;2021-01;pdf
75;72;Secteur de Nemours;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/5ac7b0bc9288bd59316c96cbc15972ac;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan72.pdf;77;1.9;2024-02;pdf
