stop_id_a,nom_a,stop_id_b,nom_b,distance_metres,nb_observations
IDFM:22016,Église de Pantin,IDFM:22014,Bobigny-Pantin - Raymond Queneau,1000,1314
IDFM:22017,Hoche,IDFM:22016,Église de Pantin,795,1314
IDFM:22018,Réaumur - Sébastopol,IDFM:22029,Sentier,464,998
IDFM:22019,Parmentier,IDFM:462946,République,725,998
IDFM:22020,Père Lachaise,IDFM:21950,Gambetta,818,991
IDFM:22021,Pereire,IDFM:22028,Wagram,480,991
IDFM:22022,Porte de Bagnolet,IDFM:22037,Gallieni,496,991
IDFM:22023,Porte de Champerret,IDFM:22034,Louise Michel,421,998
IDFM:22024,Quatre Septembre,IDFM:463090,Bourse,377,991
IDFM:22025,Rue Saint-Maur,IDFM:22019,Parmentier,424,998
IDFM:22026,Temple,IDFM:463122,Arts et Métiers,374,998
IDFM:22027,Villiers,IDFM:463069,Europe,545,991
IDFM:22028,Wagram,IDFM:22031,Malesherbes,400,991
IDFM:22029,Sentier,IDFM:22033,Bourse,437,998
IDFM:22030,Opéra,IDFM:22024,Quatre Septembre,409,991
IDFM:22031,Malesherbes,IDFM:22027,Villiers,594,991
IDFM:22032,Europe,IDFM:462987,Villiers,548,998
IDFM:22033,Bourse,IDFM:462989,Quatre Septembre,377,998
IDFM:22034,Louise Michel,IDFM:22036,Anatole France,509,998
IDFM:22035,Pont de Levallois - Bécon,IDFM:463119,Anatole France,660,967
IDFM:22036,Anatole France,IDFM:462985,Pont de Levallois - Bécon,616,998
IDFM:22038,Montparnasse Bienvenue,IDFM:463173,Falguière,516,1003
IDFM:22039,Pasteur,IDFM:462964,Volontaires,390,1003
IDFM:22040,Pigalle,IDFM:22059,Abbesses,275,951
IDFM:22041,Porte de la Chapelle,IDFM:463082,Front Populaire,1353,951
IDFM:22042,Porte de Versailles,IDFM:22058,Convention,836,951
IDFM:22043,Rue du Bac,IDFM:22045,Solférino,313,951
IDFM:22044,Saint-Georges,IDFM:22040,Pigalle,431,951
IDFM:22045,Solférino,IDFM:463123,Assemblée Nationale,359,951
IDFM:22046,Trinité - d'Estienne d'Orves,IDFM:463062,Notre-Dame-de-Lorette,396,951
IDFM:22047,Vaugirard,IDFM:22048,Volontaires,537,951
IDFM:22048,Volontaires,IDFM:462947,Pasteur,390,951
IDFM:22049,Rennes,IDFM:22051,Notre-Dame-des-Champs,399,1003
IDFM:22050,Notre-Dame-de-Lorette,IDFM:463317,Trinité - d'Estienne d'Orves,396,1003
IDFM:22051,Notre-Dame-des-Champs,IDFM:22038,Montparnasse Bienvenue,474,1003
IDFM:22052,Marcadet - Poissonniers,IDFM:22053,Marx Dormoy,792,951
IDFM:22053,Marx Dormoy,IDFM:22041,Porte de la Chapelle,802,951
IDFM:22054,Jules Joffrin,IDFM:22055,Lamarck - Caulaincourt,577,1003
IDFM:22055,Lamarck - Caulaincourt,IDFM:463116,Abbesses,612,1003
IDFM:22056,Falguière,IDFM:462980,Montparnasse Bienvenue,520,951
IDFM:22057,Concorde,IDFM:463081,Madeleine,485,951
IDFM:22058,Convention,IDFM:22047,Vaugirard,426,951
IDFM:22059,Abbesses,IDFM:463205,Lamarck - Caulaincourt,612,951
IDFM:22060,Assemblée Nationale,IDFM:463311,Solférino,362,1003
IDFM:22061,Corentin Celton,IDFM:22042,Porte de Versailles,869,950
IDFM:22062,Mairie d'Issy,IDFM:22061,Corentin Celton,563,950
IDFM:22072,Nation,IDFM:22124,Avron,563,797
IDFM:22073,Nation,IDFM:22167,Picpus,557,853
IDFM:22074,Saint-Paul (Le Marais),IDFM:463019,Bastille,714,1528
IDFM:22075,Tuileries,IDFM:463150,Concorde,427,1587
IDFM:22076,Reuilly - Diderot,IDFM:22080,Nation,847,1528
IDFM:22077,Porte de Vincennes,IDFM:22103,Saint-Mandé,790,1528
IDFM:22078,Porte Maillot,IDFM:463217,Les Sablons,844,1622
IDFM:22079,Palais Royal - Musée du Louvre,IDFM:22081,Louvre - Rivoli,340,1528
IDFM:22080,Nation,IDFM:22077,Porte de Vincennes,866,1528
IDFM:22081,Louvre - Rivoli,IDFM:22087,Châtelet,598,1528
IDFM:22082,Franklin D. Roosevelt,IDFM:22090,Champs-Élysées - Clemenceau,363,1528
IDFM:22083,Gare de Lyon,IDFM:22076,Reuilly - Diderot,833,1528
IDFM:22084,George V,IDFM:22082,Franklin D. Roosevelt,758,1528
IDFM:22085,Concorde,IDFM:463041,Tuileries,427,1528
IDFM:22086,Charles de Gaulle - Étoile,IDFM:22084,George V,473,1528
IDFM:22087,Châtelet,IDFM:463080,Hôtel de Ville,376,1528
IDFM:22088,Argentine,IDFM:22078,Porte Maillot,607,1587
IDFM:22089,Bastille,IDFM:463307,Saint-Paul (Le Marais),781,1585
IDFM:22090,Champs-Élysées - Clemenceau,IDFM:22085,Concorde,794,1528
IDFM:22091,Hôtel de Ville,IDFM:463160,Châtelet,376,1587
IDFM:22092,Châtelet,IDFM:22150,Cité,569,2588
IDFM:22093,Champs-Élysées - Clemenceau,IDFM:22224,Miromesnil,692,2199
IDFM:22094,Charles de Gaulle - Étoile,IDFM:463322,Victor Hugo,920,800
IDFM:22095,Charles de Gaulle - Étoile,IDFM:22170,Kléber,458,829
IDFM:22096,Concorde,IDFM:22194,Madeleine,488,1335
IDFM:22097,Bastille,IDFM:463195,Ledru-Rollin,527,1338
IDFM:22098,Reuilly - Diderot,IDFM:22204,Faidherbe - Chaligny,405,1298
IDFM:22099,Pont de Neuilly,IDFM:22102,Esplanade de la Défense,810,1632
IDFM:22100,Les Sablons,IDFM:463257,Porte Maillot,831,1526
IDFM:22101,La Défense,IDFM:463170,Esplanade de la Défense,1056,1526
IDFM:22102,Esplanade de la Défense,IDFM:463193,La Défense,982,1632
IDFM:22103,Saint-Mandé,IDFM:22105,Bérault,782,1528
IDFM:22105,Bérault,IDFM:22104,Château de Vincennes,709,1528
IDFM:22106,Villiers,IDFM:22117,Monceau,525,800
IDFM:22107,Stalingrad,IDFM:462981,Jaurès,447,820
IDFM:22108,Ternes,IDFM:22121,Courcelles,491,816
IDFM:22109,Victor Hugo,IDFM:463043,Charles de Gaulle - Étoile,952,813
IDFM:22110,Rome,IDFM:22115,Place de Clichy,489,816
IDFM:22111,Porte Dauphine,IDFM:22109,Victor Hugo,631,810
IDFM:22112,Père Lachaise,IDFM:22116,Ménilmontant,540,797
IDFM:22113,Philippe Auguste,IDFM:22112,Père Lachaise,496,797
IDFM:22114,Pigalle,IDFM:463113,Blanche,477,800
IDFM:22115,Place de Clichy,IDFM:22125,Blanche,333,820
IDFM:22116,Ménilmontant,IDFM:22126,Couronnes,385,797
IDFM:22117,Monceau,IDFM:463154,Courcelles,378,800
IDFM:22118,Jaurès,IDFM:463009,Stalingrad,467,800
IDFM:22119,La Chapelle,IDFM:22107,Stalingrad,457,820
IDFM:22120,Colonel Fabien,IDFM:22118,Jaurès,442,799
IDFM:22121,Courcelles,IDFM:463240,Monceau,345,816
IDFM:22122,Alexandre Dumas,IDFM:463125,Avron,600,820
IDFM:22123,Anvers,IDFM:22114,Pigalle,494,800
IDFM:22124,Avron,IDFM:463117,Alexandre Dumas,593,797
IDFM:22125,Blanche,IDFM:463088,Pigalle,481,820
IDFM:22126,Couronnes,IDFM:22128,Belleville,425,797
IDFM:22127,Barbès - Rochechouart,IDFM:22119,La Chapelle,684,820
IDFM:22128,Belleville,IDFM:22120,Colonel Fabien,784,799
IDFM:22129,Place de Clichy,IDFM:22227,La Fourche,437,2199
IDFM:22130,Barbès - Rochechouart,IDFM:22149,Gare du Nord,723,2584
IDFM:22131,Raspail,IDFM:463104,Denfert-Rochereau,552,2588
IDFM:22132,Marcadet - Poissonniers,IDFM:463310,Simplon,314,2486
IDFM:22133,Simplon,IDFM:462974,Marcadet - Poissonniers,314,2584
IDFM:22134,Strasbourg - Saint-Denis,IDFM:22153,Château d'Eau,348,2486
IDFM:22135,Vavin,IDFM:462996,Montparnasse Bienvenue,383,2480
IDFM:22136,Saint-Germain-des-Prés,IDFM:22145,Odéon,426,2486
IDFM:22137,Saint-Michel,IDFM:462995,Odéon,357,2588
IDFM:22138,Saint-Placide,IDFM:22143,Montparnasse Bienvenue,418,2588
IDFM:22139,Saint-Sulpice,IDFM:22138,Saint-Placide,520,2588
IDFM:22140,Porte d'Orléans,IDFM:26602,Mairie de Montrouge,704,2588
IDFM:22142,Réaumur - Sébastopol,IDFM:22134,Strasbourg - Saint-Denis,377,2486
IDFM:22143,Montparnasse Bienvenue,IDFM:463016,Vavin,381,2588
IDFM:22144,Mouton-Duvernet,IDFM:22154,Alésia,385,2588
IDFM:22145,Odéon,IDFM:463306,Saint-Michel,377,2486
IDFM:22146,Les Halles,IDFM:22092,Châtelet,327,2588
IDFM:22147,Etienne Marcel,IDFM:22142,Réaumur - Sébastopol,412,2486
IDFM:22148,Gare de l'Est,IDFM:462979,Château d'Eau,402,2588
IDFM:22149,Gare du Nord,IDFM:22148,Gare de l'Est,465,2588
IDFM:22150,Cité,IDFM:22137,Saint-Michel,295,2588
IDFM:22151,Denfert-Rochereau,IDFM:463291,Raspail,590,2480
IDFM:22152,Château Rouge,IDFM:22132,Marcadet - Poissonniers,451,2486
IDFM:22153,Château d'Eau,IDFM:463022,Gare de l'Est,456,2486
IDFM:22154,Alésia,IDFM:22140,Porte d'Orléans,546,2588
IDFM:22155,Raspail,IDFM:22172,Edgar Quinet,468,857
IDFM:22156,Montparnasse Bienvenue,IDFM:463100,Edgar Quinet,309,858
IDFM:22157,Montparnasse Bienvenue,IDFM:22229,Duroc,770,2199
IDFM:22158,Denfert-Rochereau,IDFM:22155,Raspail,568,857
IDFM:22159,Strasbourg - Saint-Denis,IDFM:462962,République,696,1338
IDFM:22160,Saint-Jacques,IDFM:22158,Denfert-Rochereau,308,857
IDFM:22161,Quai de la Gare,IDFM:22178,Bercy,586,858
IDFM:22162,La Motte-Picquet - Grenelle,IDFM:463140,Cambronne,320,858
IDFM:22163,Sèvres-Lecourbe,IDFM:22166,Pasteur,417,858
IDFM:22164,Trocadéro,IDFM:463114,Boissière,393,857
IDFM:22165,Passy,IDFM:22164,Trocadéro,752,857
IDFM:22166,Pasteur,IDFM:22156,Montparnasse Bienvenue,747,858
IDFM:22167,Picpus,IDFM:22177,Bel-Air,466,853
IDFM:22168,Place d'Italie,IDFM:22169,Nationale,573,858
IDFM:22169,Nationale,IDFM:463147,Chevaleret,405,858
IDFM:22170,Kléber,IDFM:22180,Boissière,574,855
IDFM:22171,Dupleix,IDFM:463005,Bir-Hakeim,507,857
IDFM:22172,Edgar Quinet,IDFM:462955,Montparnasse Bienvenue,313,857
IDFM:22173,Glacière,IDFM:22160,Saint-Jacques,514,857
IDFM:22174,Chevaleret,IDFM:463004,Nationale,462,855
IDFM:22175,Corvisart,IDFM:22173,Glacière,580,857
IDFM:22176,Cambronne,IDFM:463194,La Motte-Picquet - Grenelle,320,857
IDFM:22177,Bel-Air,IDFM:463169,Daumesnil,497,853
IDFM:22178,Bercy,IDFM:22182,Dugommier,768,858
IDFM:22179,Bir-Hakeim,IDFM:463099,Dupleix,508,856
IDFM:22180,Boissière,IDFM:463268,Trocadéro,452,855
IDFM:22181,Daumesnil,IDFM:463127,Bel-Air,449,858
IDFM:22182,Dugommier,IDFM:22181,Daumesnil,507,858
IDFM:22183,La Motte-Picquet - Grenelle,IDFM:463177,École Militaire,718,748
IDFM:22184,Daumesnil,IDFM:22205,Montgallet,639,1298
