zdc,ligneLabel,destination,accId,labelPosition,position,positionMax,equipement,directionId,terminusReel,zdcSuivant
71324,14,Madeleine,,Avant,3,8,Escalator,0,"Saint-Denis - Pleyel",71370
71264,14,Châtelet,,Avant,3,8,,1,"Aéroport d'Orly",73626
71199,8,"La Motte-Picquet-Grenelle",,Arrière,5,5,,1,"Pointe du Lac",71224
71199,8,"La Motte-Picquet-Grenelle",,Arrière,5,5,,0,Balard,71132
73618,4,Odéon,,Arrière,6,6,Escalator,1,"Bagneux - Lucie Aubrac",71216
71853,2,Belleville,,Milieu,3,5,,0,Nation,71834
71961,2,Stalingrad,,Avant,1,5,,0,Nation,71940
71409,2,Pigalle,,Arrière,5,5,,0,Nation,71419
71673,9,Nation,,Milieu,3,5,,1,"Mairie de Montreuil",479928
71347,2,"Charles de Gaulle-Etoile",,Avant,1,5,,1,"Porte Dauphine",71315
71264,14,Châtelet,,Avant,3,8,,1,"Aéroport d'Orly",73626
71940,5,Jaurès,,Milieu,3,5,,0,"Bobigny - Pablo Picasso",71957
73636,3,Réaumur-Sébastopol,,Arrière,5,5,,1,"Pont de Levallois - Bécon",73634
71311,9,République,,Milieu,3,5,,1,"Mairie de Montreuil",71803
71264,11,Châtelet,,Arrière,4,5,,0,Rosny-Bois-Perrier,415852
71330,8,Richelieu-Drouot,,Avant,1,5,,0,Balard,71337
71337,3,Opéra,,Avant,1,5,,0,Gallieni,71313
73633,8,Strasbourg-Saint-Denis,,Arrière,5,5,,0,Balard,71320
73633,8,Strasbourg-Saint-Denis,,Arrière,5,5,,0,Balard,71320
71673,2,Nation,,Milieu,3,5,,0,Nation,
71264,7,"Châtelet - Les Halles",,Arrière,5,5,,1,"Villejuif - Louis Aragon",71217
71264,4,"Châtelet - Les Halles",,Milieu,3,6,,1,"Bagneux - Lucie Aubrac",71223
71264,7,"Châtelet - Les Halles",,Avant,1,5,,0,"La Courneuve - 8 Mai 1945",71253
73626,14,"Gare de Lyon",,Avant,1,8,,0,"Saint-Denis - Pleyel",71264
71264,14,"Rue de la Lingerie",50147790,Avant,2,8,,0,"Saint-Denis - Pleyel",73788
71264,1,"Rue des Lavandières",50147796,Avant,2,6,,0,"Château de Vincennes",415852
71264,14,"15 avenue Victoria",50147799,Avant,2,8,,1,"Aéroport d'Orly",73626
71139,13,"Maine Montparnasse",50147832,Avant,1,5,,0,"Châtillon - Montrouge",73675
73653,4,"42 avenue du Général Leclerc",50147850,Avant,1,6,,1,"Bagneux - Lucie Aubrac",71030
71799,3,"Boulevard Davout",50147901,Avant,1,5,,0,Gallieni,71817
73626,1,"25 boulevard Diderot",50147981,Arrière,5,6,,0,"Château de Vincennes",71654
71297,7,"Le Louvre des Antiquaires",50147991,Avant,2,5,,1,"Villejuif - Louis Aragon",71253
71647,1,"113 avenue de Paris",50148005,Avant,1,6,,0,"Château de Vincennes",71650
71033,5,"182 boulevard Vincent Auriol",50148016,Avant,1,5,,1,"Place d'Italie",
71607,6,"48 Boulevard de Bercy",50148043,Arrière,5,5,,1,"Charles de Gaulle - Étoile",71597
71673,2,"Place de la Nation",50148054,Avant,1,5,,1,"Porte Dauphine",71697
71885,7B,"Rue de Crimée",50148055,Arrière,3,3,,0,Pré-Saint-Gervais,71911
73689,7,"Rue La Fayette",50148096,Avant,1,5,,1,"Villejuif - Louis Aragon",71337
70596,7,"190 avenue d' Italie",50148130,Avant,1,5,,0,"La Courneuve - 8 Mai 1945",70645
71224,8,"Avenue Bosquet",50148169,Arrière,5,5,,1,"Pointe du Lac",71242
71298,1,"258 rue de Rivoli",50148174,Arrière,6,6,,0,"Château de Vincennes",71284
70269,8,"13 Rue Gustave Eiffel",50148229,Avant,1,5,,0,Balard,70358
70172,8,"Route de Choisy",50148231,Arrière,4,5,,0,Balard,70269
71318,9,"Palais de la Découverte",50148281,Avant,1,5,,1,"Mairie de Montreuil",71334
71346,13,"29 rue de la Boétie",50148287,Avant,1,5,Escalator,0,"Châtillon - Montrouge",71305
71199,8,"Avenue de Suffren",50148791,Avant,1,5,,1,"Pointe du Lac",71224
415852,1,"Rue du Temple",50148893,Arrière,6,6,Escalator,0,"Château de Vincennes",71222
71545,14,"av de Clichy",50148897,Arrière,6,8,Escalator,0,"Saint-Denis - Pleyel",72126
72491,12,"rue de la Commune",50149328,Milieu,3,5,Ascenseur,1,"Mairie d'Aubervilliers",72524
490779,11,"r. de la Liberté",50149886,Arrière,5,5,Escalier,1,Châtelet,71909
490783,11,"Entrée / Sortie",50149897,Arrière,5,5,,0,Rosny-Bois-Perrier,426280
70645,14,"av. d'Italie",50149928,Arrière,7,8,Escalier,0,"Saint-Denis - Pleyel",71557
70645,14,"r. Tagore",50149930,Avant,2,8,Escalier,0,"Saint-Denis - Pleyel",71557
70645,14,"r. de la Vistule",50149931,Avant,2,8,Escalier,1,"Aéroport d'Orly",70445
70645,14,"r. Bourgon",50149932,Avant,1,8,Ascenseur,0,"Saint-Denis - Pleyel",71557
69677,14,"Entrée / Sortie",50149942,Arrière,7,8,Escalier,0,"Saint-Denis - Pleyel",73753
490784,14,"19 rue Pleyel",50149983,Arrière,6,8,Escalator,0,"Saint-Denis - Pleyel",
490779,11,"bd du Gén. Leclerc",50210356,Arrière,5,5,Escalator,0,Rosny-Bois-Perrier,71947
71897,11,"bd de la Boissière",50210359,Arrière,4,5,Ascenseur,1,Châtelet,71947
71311,3,République,,Arrière,5,5,,0,Gallieni,71801
71311,3,République,,Arrière,5,5,,0,Gallieni,71801
73690,9,Saint-Lazare,,Avant,1,5,,1,"Mairie de Montreuil",482368
71370,12,Saint-Lazare,,Arrière,5,5,,1,"Mairie d'Aubervilliers",71355
71264,7,Châtelet,,Arrière,5,5,,1,"Villejuif - Louis Aragon",71217
71434,2,"Gare du Nord",,Arrière,5,5,,0,Nation,71961
71298,12,Concorde,,Milieu,3,5,,0,"Mairie d'Issy",73642
71139,4,Montparnasse-Bienvenue,,Arrière,6,6,,1,"Bagneux - Lucie Aubrac",71117
71337,7,Opéra,,Arrière,5,5,,1,"Villejuif - Louis Aragon",73788
71297,1,"Palais-Royal (Musée du Louvre)",,Milieu,3,6,,0,"Château de Vincennes",73630
71379,1,"16 place de Verdun",50147959,Avant,1,6,,1,"La Défense",425779
71347,6,"Place Charles de Gaulle",50147977,Avant,1,5,,0,Nation,73656
71297,7,"Le Louvre des Antiquaires",50147991,Arrière,4,5,,0,"La Courneuve - 8 Mai 1945",73788
71297,7,"Place du Palais-Royal",50147993,Avant,1,5,,0,"La Courneuve - 8 Mai 1945",73788
71650,1,"98 avenue de Paris",50148001,Arrière,6,6,,0,"Château de Vincennes",71634
73696,7,"50 avenue Jean Jaurès",50148064,Arrière,4,5,,0,"La Courneuve - 8 Mai 1945",
71961,7,"Bassin de la Villette",50148088,Arrière,5,5,,0,"La Courneuve - 8 Mai 1945",71977
71133,7,"Arènes de Lutèce",50148116,Arrière,5,5,,1,"Villejuif - Louis Aragon",71100
70375,7,"53 avenue de Paris",50148146,Avant,2,5,,1,"Villejuif - Louis Aragon",70248
70143,7,"Boulevard Maxime Gorky",50148151,Arrière,4,5,,1,"Villejuif - Louis Aragon",
71320,9,"15 Boulevard de Bonne Nouvelle",50148181,Arrière,5,5,,0,"Pont de Sèvres",71326
463564,8,"Rue de la Roquette",50148194,Arrière,5,5,,1,"Pointe du Lac",71693
70426,8,"147 avenue du Général Leclerc",50148223,Arrière,5,5,,0,Balard,70522
70358,8,"Avenue du Général Leclerc",50148225,Arrière,5,5,,0,Balard,70426
71084,9,"Parc des Princes",50148250,Arrière,5,5,,1,"Mairie de Montreuil",71124
71206,9,"55 rue d' Auteuil",50148258,Avant,1,5,,1,"Mairie de Montreuil",73657
71294,9,"Rue Boissière",50148276,Avant,1,5,,1,"Mairie de Montreuil",71290
71346,13,"11 avenue Delcassé",50148285,Avant,1,5,Escalator,0,"Châtillon - Montrouge",71305
73647,9,"164 boulevard Voltaire",50148323,Avant,1,5,,0,"Pont de Sèvres",71750
71756,9,"1 avenue Paul Langevin",50148341,Avant,1,5,,1,"Mairie de Montreuil",71785
71135,5,"SNCF/RER C grandes lignes et banlieue",50148348,Avant,1,5,,0,"Bobigny - Pablo Picasso",71637
71148,10,"2 place Jussieu",50148353,Arrière,5,5,,1,"Gare d'Austerlitz",71135
73658,9,"34 rue Molitor",50148387,Avant,1,5,,1,"Mairie de Montreuil",71206
71311,8,"14 place de la République",50148405,Avant,1,5,,0,Balard,73633
71840,11,"135 avenue Parmentier",50148408,Arrière,5,5,,1,Châtelet,71311
71868,11,"7 rue du Jourdain",50148418,Avant,1,5,,1,Châtelet,71864
71075,12,"316 rue de Vaugirard",50148431,Arrière,4,5,,1,"Mairie d'Aubervilliers",71091
71232,13,"13 boulevard des Invalides",50148488,Avant,1,5,,1,"Asnières - Gennevilliers - Les Courtilles",71274
71370,14,"Galeries marchandes - Gare Saint-Lazare",50148490,Avant,3,8,,0,"Saint-Denis - Pleyel",71475
71370,13,"11-13 place du Havre",50148492,Avant,1,5,,0,"Châtillon - Montrouge",71346
71528,13,"68 avenue de Saint-Ouen",50148500,Avant,1,5,,0,"Châtillon - Montrouge",71474
72203,13,"Gare routière",50148522,Avant,2,5,Escalator,1,"Asnières - Gennevilliers - Les Courtilles",72240
71347,1,"2 avenue de la Grande Armée",50148549,Avant,1,6,,1,"La Défense",71348
71347,2,"2 avenue de la Grande Armée",50148549,Avant,2,5,Escalator,1,"Porte Dauphine",71315
72126,14,"Victor Hugo (boulevard)",50148650,Avant,3,8,Escalator,0,"Saint-Denis - Pleyel",72168
70586,4,"Parvis de l'église Saint-jacques",50148738,Avant,2,6,,0,"Porte de Clignancourt",70657
71359,4,"Place du 11 Novembre",50148780,Milieu,4,6,,0,"Porte de Clignancourt",71410
415852,11,"Rue de Rivoli",50148848,Arrière,5,5,,0,Rosny-Bois-Perrier,71273
71475,14,"Rue Mstilav Rostropovitch",50148886,Avant,2,8,Escalator,0,"Saint-Denis - Pleyel",71545
71545,14,"rue Fragonard",50148898,Arrière,6,8,Escalator,0,"Saint-Denis - Pleyel",72126
71572,14,"Rue Goscinny",50148911,Arrière,7,8,Escalator,1,"Aéroport d'Orly",71557
490783,11,"Entrée / Sortie",50149897,Milieu,3,5,Ascenseur,0,Rosny-Bois-Perrier,426280
70645,14,"r. de la Vistule",50149931,Milieu,5,8,Escalier,1,"Aéroport d'Orly",70445
69974,14,"r. de Bicêtre",50149935,Arrière,7,8,Escalier,1,"Aéroport d'Orly",73753
63284,14,"Orly 4 - T7 - Cur d'Orly",50149982,Avant,1,8,Escalier,1,"Aéroport d'Orly",
490784,14,"Place de Etoiles",50149986,Milieu,5,8,Ascenseur,0,"Saint-Denis - Pleyel",
71148,7,Jussieu,,Milieu,3,5,,0,"La Courneuve - 8 Mai 1945",71201
71033,6,"Place d'Italie",,Arrière,5,5,,0,Nation,71043
71139,6,Montparnasse-Bienvenue,,Arrière,5,5,,1,"Charles de Gaulle - Étoile",71125
71139,12,Montparnasse-Bienvenue,,Avant,1,5,,1,"Mairie d'Aubervilliers",71138
71311,5,République,,Milieu,3,5,,0,"Bobigny - Pablo Picasso",71322
71803,9,Oberkampf,,Avant,1,5,,1,"Mairie de Montreuil",71781
71940,2,Jaurès,,Avant,2,5,Ascenseur,1,"Porte Dauphine",71961
71940,2,Jaurès,,Arrière,4,5,Ascenseur,0,Nation,71893
71320,9,"Bonne Nouvelle",,Avant,1,5,Escalator,0,"Pont de Sèvres",71326
