route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;ArRPostalRegion;stop_Geopoint;ArRXEpsg2154;ArRYEpsg2154;shortName;bookingRules;mode;Pointgeo;Nom_commune;Code_insee;Extensions;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns
IDFM:C01565;4504;IDFM:2772;Gare d'Évry-Courcouronnes Centre;Transdev Cœur Essonne;Evry-Courcouronnes;91228;48.62512221913413, 2.4287713454930677;657901;6836256;4504;;Bus;48.62512221914832, 2.4287713454930677;Évry-Courcouronnes;91228;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01565:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;false;false
IDFM:C01566;9105;IDFM:12052;ZI Croix Blanche;RD Saclay;Sainte-Geneviève-des-Bois;91549;48.62450808194977, 2.34119122627975;651446;6836238;9105;;Bus;48.62450808196396, 2.3411912262797503;Sainte-Geneviève-des-Bois;91549;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01566:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C01567;4606;IDFM:496685;Centre d'Exploitation;RD Saclay;Palaiseau;91477;48.71627178954404, 2.218473685003496;642503;6846522;4606;;Bus;48.716271789558, 2.218473685003496;Palaiseau;91477;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01567:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C01570;4122;IDFM:495926;Gare de Yerres;Keolis Val d'Yerres Val de Seine;Yerres;91691;48.70685549569201, 2.483189797382053;661971;6845315;4122;;Bus;48.70685549570602, 2.4831897973820536;Yerres;91691;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01570:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;false;false
IDFM:C01571;5154;IDFM:420705;Mare du Vivier;Francilité Express Ouest;Saint-Aubin;91538;48.71869899150137, 2.151121843666402;637551;6846843;5154;;Bus;48.718698991515346, 2.1511218436664024;Saint-Aubin;91538;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01571:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C01571;5154;IDFM:2725;Mérantais;Francilité Express Ouest;Magny-les-Hameaux;78356;48.75154309407277, 2.067898688195432;631471;6850563;5154;;Bus;48.751543094086664, 2.0678986881954327;Magny-les-Hameaux;78356;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01571:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C01571;5154;IDFM:22728;Raoul Dautry;Francilité Express Ouest;Saclay;91534;48.72380820196205, 2.1562185152120197;637932;6847407;5154;;Bus;48.72380820197602, 2.15621851521202;Saclay;91534;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01571:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
IDFM:C01571;5154;IDFM:12385;Avenue de l'Europe - Centre Commercial;Francilité Express Ouest;Massy;91377;48.72688612192879, 2.2770751932628177;646825;6847661;5154;;Bus;48.726886121942755, 2.2770751932628177;Massy;91377;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01571:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";partial;unknown;unknown
IDFM:C01574;602;IDFM:19014;Gare du Raincy - Villemomble - Montfermeil;Keolis Grand Paris Vallée de la Marne;Le Raincy;93062;48.88941722012946, 2.51206281815609;664221;6865600;602;;Bus;48.889417220143045, 2.51206281815609;Le Raincy;93062;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01574:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01578;607;IDFM:19572;Rue Rateau;Transdev Nord Seine-Saint-Denis;La Courneuve;93027;48.92510959632049, 2.4154477295718344;657166;6869617;607;;Bus;48.925109596333996, 2.4154477295718344;La Courneuve;93027;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01578:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
