commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
tabac presse;510070;La Civette Du Parc;dimanche;11 Esplanade Charles de Gaulle;92000;Nanterre;;;;;;;;48.895541, 2.223296
tabac loto;510472;Le Balto;lundi;1 Rue de Stalingrad;92000;Nanterre;;;;;;;;48.891639, 2.199851
tabac loto;510638;La Cave à Cigares;;27 Rue de la Paix;92000;Nanterre;;;;;;;;48.887692, 2.223748
café tabac;520650;Le Grand Paris;;13 Boulevard Gallieni;93360;Neuilly-Plaisance;;;;;;;;48.852833, 2.512931
café tabac;520533;Le Longchamp;;1 Avenue Léon Blum (Ccial Les Fauvettes);93330;Neuilly-sur-Marne;;;;;;;;48.869383, 2.538342
tabac presse;520585;Lib. du Val de Marne;;70 Rue du 11 Novembre;93330;Neuilly-sur-Marne;;;;;;;;48.863201, 2.52649
civette;510728;Le Marly;;54 Avenue du Roule;92200;Neuilly-sur-Seine;;;;;;;;48.882732, 2.277132
café tabac;520700;Le Watteau;dimanche;7 Boulevard de Strasbourg;94130;Nogent-sur-Marne;;;;;;;;48.835834, 2.474379
café tabac;520648;Le Celtique;dimanche;1 Rue Anatole France;93130;Noisy-le-Sec;;;;;;;;48.889713, 2.452572
café tabac;530471;Le Narval;dimanche;46 Rue du Commerce;94310;Orly;;;;;;;;48.742755, 2.397154
café tabac;530569;Café Hotel de Ville;;7 Place Henri Barbusse;91550;Paray-Vieille-Poste;;;;;;;;48.713017, 2.362354
tabac loto;530480;Calumet des Halles;;47 Rue Montorgueil;75002;Paris;;;;;;;;48.865042, 2.346771
tabac loto;540551;Le Losange;dimanche;150 Rue Saint-Denis;75002;Paris;;;;;;;;48.865606, 2.350675
tabac;510529;La Maison du Marais;dimanche;53 Rue Saint Paul;75004;Paris;;;;;;;;48.854491, 2.362489
café tabac;520592;Tabac des Vosges;lundi;25 Rue de Turennes;75004;Paris;;;;;;;;48.856304, 2.364071
civette;530322;Tabac St-Germain;dimanche;54 Boulevard Saint-Germain;75005;Paris;;;;;;;;48.850017, 2.349436
café tabac;530336;Tabac de la Mutualit;samedi;13 Rue Monge;75005;Paris;;;;;;;;48.848295, 2.350486
tabac presse;530383;Presse - Tabac;dimanche;9 Rue de Blainville;75005;Paris;;;;;;;;48.84441, 2.348436
café tabac;530390;Le Saint Mandé;dimanche;41-43 Rue Linné;75005;Paris;;;;;;;;48.846233, 2.354371
tabac presse;530448;Les Oliviers;dimanche;66 Rue Claude Bernard;75005;Paris;;;;;;;;48.84016, 2.346641
café tabac;530484;Le Week End;dimanche;36 Rue Gay Lussac;75005;Paris;;;;;;;;48.844369, 2.34186
café tabac;530103;Le Calumet;dimanche;30 Rue Notre-Dame-des-Champs;75006;Paris;;;;;;;;48.845206, 2.328387
café tabac;530469;Le Brazza;dimanche;9 Rue de Sevres;75006;Paris;;;;;;;;48.851736, 2.328516
café tabac;530266;Le Centenaire;;27 Boulevard de la Tour Maubourg;75007;Paris;;;;;;;;48.859789, 2.310351
café tabac;530329;Tabac de la Mairie;dimanche;114 Rue de Grenelle;75007;Paris;;;;;;;;48.856745, 2.320438
tabac loto;530488;Cave a Cigares;dimanche;23 Avenue de la Motte-Picquet;75007;Paris;;;;;;;;48.855471, 2.307642
tabac presse;530565;Civette  l'Assemblée;;17 Rue de Bourgogne;75007;Paris;;;;;;;;48.858935, 2.318002
tabac;510565;Tabac Haussmann;samedi;46 Rue de Laborde;75008;Paris;;;;;;;;48.87548, 2.316527
tabac loto;520506;La Cave à Cigares;;4 Boulevard  de Denain;75010;Paris;;;;;;;;48.879002, 2.354482
café tabac;540057;Tabac Saint Antoine;dimanche;203 Rue du Faubourg Saint-Antoine;75011;Paris;;;;;;;;48.850529, 2.382559
café tabac;520424;Le Saint-Claude;lundi;101 Rue Claude Decaen;75012;Paris;;;;;;;;48.838943, 2.395945
librairie;530165;Maison de la Presse;dimanche;7 Rue Elsa Morante;75013;Paris;;;;;;;;48.828652, 2.381844
tabac loto;530506;Le Tabaclub;;45 Avenue d' Italie;75013;Paris;;;;;;;;48.827243, 2.357229
tabac loto;530512;Tabac de Patay;;75 Rue Patay;75013;Paris;;;;;;;;48.826499, 2.373019
café tabac;530563;La Rotonde;;7 Place du 25 Août 1944;75014;Paris;;;;;;;;48.822233, 2.325784
café tabac;510268;Le Disque Bleu;dimanche;60 Rue du Théâtre;75015;Paris;;;;;;;;48.848128, 2.289908
tabac loto;510662;Tabac Lecourbe;dimanche;37 Rue Lecourbe;75015;Paris;;;;;;;;48.844018, 2.307809
café tabac;510685;Le Chiquito;dimanche;112 Rue Saint-Charles;75015;Paris;;;;;;;;48.844923, 2.283934
civette;510330;Tabac de la Mairie;dimanche;66 Rue de la Pompe;75016;Paris;;;;;;;;48.863076, 2.276579
café tabac;510449;Le Diplomate;;15 Rue Singer;75016;Paris;;;;;;;;48.856191, 2.277586
café tabac;510470;Le Havane;;188 Avenue de Versailles;75016;Paris;;;;;;;;48.83946, 2.261704
café tabac;510504;Tabac de la Tour;;51 Rue de la Tour;75016;Paris;;;;;;;;48.860575, 2.280312
tabac loto;510576;Tabac Jeux;;96 Rue Raynouard;75016;Paris;;;;;;;;48.853042, 2.276197
café tabac;540440;Moulin d' Auteuil;dimanche;75 Rue d'Auteuil;75016;Paris;;;;;;;;48.847868, 2.260891
café tabac;510714;Le Chaptal;dimanche;70/72 Boulevard des Batignolles;75017;Paris;;;;;;;;48.882217, 2.319983
tabac presse;510605;Le Flash;mercredi;6 Rue Ordener;75018;Paris;;;;;;;;48.890382, 2.358844
tabac presse;510655;Cité de la Presse;mardi;29 Rue Tristan Tzara;75018;Paris;;;;;;;;48.895359, 2.362915
café tabac;510659;Le Calumet;dimanche;29 Rue Ramey;75018;Paris;;;;;;;;48.888605, 2.346564
café tabac;540234;Le Flash;;25 Boulevard  Ornano;75018;Paris;;;;;;;;48.893619, 2.347743
café tabac;540310;Le Reinitas;dimanche;18 Rue du Poteau;75018;Paris;;;;;;;;48.893509, 2.342654
tabac;520535;Angkor;jeudi;98 Rue d'Aubervilliers;75019;Paris;;;;;;;;48.889839, 2.368324
tabac loto;540257;Tabac L'Horloge;dimanche;212 Avenue Jean Jaurès;75019;Paris;;;;;;;;48.888588, 2.39299
café tabac;510518;Le Réveil Matin;dimanche;135 Rue de Ménilmontant;75020;Paris;;;;;;;;48.870156, 2.39594
café tabac;520563;Café Tabac leTiercé;dimanche;3 Place Auguste Metivier;75020;Paris;;;;;;;;48.863207, 2.387904
tabac loto;520639;Civette de Pelleport;dimanche;127 Avenue Gambetta;75020;Paris;;;;;;;;48.868554, 2.401472
tabac librairie;520655;Tabac Pte des Lilas;;306 Rue de Belleville;75020;Paris;;;;;;;;48.876626, 2.40504
café tabac;520731;L'Obélisque;dimanche;45 bis Rue Saint-Blaise;75020;Paris;;;;;;;;48.858061, 2.407255
tabac loto;510128;Tabac des 4 Temps;dimanche;Ccial  2 PaRue de la Défense;92800;Puteaux;;;;;;;;48.891676, 2.241092
tabac presse;510539;Civette de Puteaux;dimanche;65 Quai de Dion-Bouton;92800;Puteaux;;;;;;;;48.885756, 2.251379
tabac librairie;520711;Tabac Liberté;dimanche;40 Avenue Lénine ( Ccial Youri Gagarine );93230;Romainville;;;;;;;;48.883114, 2.426042
tabac presse;510389;Presse'tige;dimanche;191 Avenue Napoléon Bonaparte;92500;Rueil-Malmaison;;;;;;;;48.875177, 2.168884
café tabac;510651;Le Jubillé 3;mercredi;46 Rue Gallieni;92500;Rueil-Malmaison;;;;;;;;48.868465, 2.203579
café tabac;520443;Le Tabac du Barrage;dimanche;149 Rue Gabriel Péri;93200;Saint-Denis;;;;;;;;48.943858, 2.356817
café tabac;530313;Le Kennedy;dimanche;90 Rue Garibaldi;94100;Saint-Maur-des-Fossés;;;;;;;;48.793884, 2.486484
tabac loto;510637;Tabac les Rosiers;dimanche;56 Rue des Rosiers;93400;Saint-Ouen;;;;;;;;48.905617, 2.336652
tabac;540186;Tabac L'Élégance;jeudi;67 Avenue Gabriel Péri;93400;Saint-Ouen;;;;;;;;48.90591, 2.331948
tabac loto;520165;Les Volutes;dimanche;14 Rue de Toulouse (Ccial  Les Flanades);95200;Sarcelles;;;;;;;;48.978339, 2.376415
café tabac;520415;Le Saint-Sauveur;dimanche;15 Rue Eric de Saint-Sauveur;95200;Sarcelles;;;;;;;;48.977763, 2.389573
tabac loto;530534;Le Bardy;;193 Boulevard  Aristide Briand;91600;Savigny-sur-Orge;;;;;;;;48.688108, 2.358043
tabac presse;530264;Le Patio;;5 Rue du Docteur Roux;92330;Sceaux;;;;;;;;48.784828, 2.302126
café tabac;520733;L‘'Imperial;mercredi;38 Rue d'Aulnay;93270;Sevran;;;;;;;;48.940038, 2.51903
tabac loto;520268;Le Narval;dimanche;95 Avenue Jules Guesde;93240;Stains;;;;;;;;48.964561, 2.388724
café tabac;510545;Le Valerien;;1 Rue de la Poterie;92150;Suresnes;;;;;;;;48.861939, 2.212778
café tabac;510649;Le Mousquetaire;dimanche;97 Rue de Verdun;92150;Suresnes;;;;;;;;48.875465, 2.231436
café tabac;510657;Le Chiquito;;5 Rue des Bas Rogers;92150;Suresnes;;;;;;;;48.879649, 2.235611
café tabac;530385;Les Tilleuls;dimanche;148 Avenue du Maréchal de Lattre de Tassigny;94320;Thiais;;;;;;;;48.752396, 2.405595
tabac loto;530415;Emy Café;dimanche;C Cial Avenue du Luxembourg (CCIal Belle Epine);94320;Thiais;;;;;;;;48.756329, 2.371236
tabac loto;530543;Love Tabac;dimanche;C Cial Avenue du Luxembourg (CCIal Belle Epine);94320;Thiais;;;;;;;;48.756329, 2.371236
café tabac;510534;Le Maine-Anjou;;4 Rue Jean Jaurès;92170;Vanves;;;;;;;;48.825037, 2.293817
café tabac;530391;Au Buisson;;28 Rue d'Estienne d'Orves;91370;Verrières-le-Buisson;;;;;;;;48.748496, 2.266772
tabac loto;530234;Tabac Ile de France;dimanche;33 Avenue de Paris;94800;Villejuif;;;;;;;;48.805615, 2.363679
café tabac;530558;Le Royal;dimanche;36 Rue Marcel Grosmenil;94800;villejuif;;;;;;;;48.79841, 2.354955
café tabac;530638;7è Avenue;;60 Avenue de la République;94800;Villejuif;;;;;;;;48.787927, 2.356711
café tabac;540136;Le Disque Bleu;dimanche;29 Avenue Paul Vaillant-Couturier;94800;Villejuif;;;;;;;;48.794666, 2.362763
café tabac;520567;Tabac Le Sévigné;dimanche;162 Grande Rue;93250;Villemomble;;;;;;;;48.881806, 2.522023
tabac presse;520569;Tabac du Parc;;37 Avenue Nelson Mandela;94350;Villiers-sur-Marne;;;;;;;;48.830971, 2.540364
café tabac;520375;Le Drapeau;dimanche;18 Avenue de Paris;94300;Vincennes;;;;;;;;48.844935, 2.436097
presse;530292;Maxi Tabac;dimanche;17 bis Avenue Maximilien Robespierre;94400;Vitry-sur-Seine;;;;;;;;48.791076, 2.388046
café tabac;530337;Le Reinitas;dimanche;6 Place Paul Froment;94400;Vitry-sur-Seine;;;;;;;;48.78646, 2.402074
tabac;530549;Le Tabariot;dimanche;2 Rue Audigeois;94400;Vitry-sur-Seine;;;;;;;;48.790811, 2.391965
tabac loto;530633;Le Français;mercredi;25 Avenue Lucien Français;94400;Vitry-sur-Seine;;;;;;;;48.786619, 2.386543
café tabac;530210;Le Fontenoy;dimanche;135 Avenue de la Division Leclerc;92160;Antony;;;;;;;;48.742796, 2.303063
café tabac;530284;Le Brazza;dimanche;123 Avenue  Aristide Briand;94110;Arcueil;;;;;;;;48.801945, 2.324355
café tabac;520161;Café de la Gare;;5 Avenue Pierre Sémard;95400;Arnouville;;;;;;;;48.994629, 2.415543
café tabac;510350;Le Cyrano;;110 Rue des Bourguignons;92600;Asnières-sur-Seine;;;;;;;;48.915843, 2.276376
café tabac;540188;Au Havane;dimanche;9 Rue de la Station;92600;Asnières-sur-Seine;;;;;;;;48.906545, 2.284496
tabac loto;530536;Le Rothenburg;dimanche;45352 Place de Rothenburg;91200;Athis-Mons;;;;;;;;48.712688, 2.402744
café tabac;530636;Le Jean Bart;samedi;155 Avenue Jacques Chirac;91200;Athis-Mons;;;;;;;;48.705489, 2.35655
café tabac;520482;Le Rallye;jeudi;11 Avenue Jean Jaurès;93300;Aubervilliers;;;;;;;;48.901795, 2.389762
café tabac;520678;Tabac du Marché;;5 Rue Jacques Duclos;93600;Aulnay-sous-Bois;;;;;;;;48.941549, 2.496952
tabac presse;530229;Tabac - Presse;dimanche;43 Avenue Henri Barbusse;92220;Bagneux;;;;;;;;48.80169, 2.315636
café tabac;530381;Le Paris Rome;lundi;11 bis Avenue Louis Pasteur;92220;Bagneux;;;;;;;;48.797908, 2.317324
café tabac;520605;Le Shelby;dimanche;24 Rue Girardot;93170;Bagnolet;;;;;;;;48.87429, 2.42625
tabac presse;510569;Mag Presse;;41 Rue de Sartrouville;95870;Bezons;;;;;;;;48.934577, 2.203339
café tabac;510587;Le Victor Hugo;dimanche;29 Rue Victor Hugo;95870;Bezons;;;;;;;;48.929815, 2.222015
café tabac;520346;Le Belwo;;63 Avenue Louis Aragon;93000;Bobigny;;;;;;;;48.91478, 2.440589
tabac;510570;Le Lutecia;;27 Avenue Jean-Baptiste Clément;92100;Boulogne-Billancourt;;;;;;;;48.846601, 2.238843
