commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
café tabac;510721;La Divette d'Enghien;;4 Rue du Départ;95880;Enghien Les Bains;;;;;;;;48.98025, 2.246661
café tabac;601561;Le bistrot de Paris;;32 Rue de Paris;93800;Épinay-sur-Seine;;;;;;;;48.95362, 2.311373
café tabac;530441;Le Diplomate;;57 Avenue de la République;94260;Fresnes;;;;;;;;48.760069, 2.319043
café tabac;510485;Les Arcades;dimanche;4 Rue Athime Rué;92380;Garches;;;;;;;;48.844787, 2.187246
tabac librairie;520670;Tabac du Vieux Pays;dimanche;17 Rue de Verdun;95140;Garges-lès-Gonesse;;;;;;;;48.967493, 2.411154
tabac presse;510672;Tabac Saint Michel;dimanche;54 Rue d'Everan (C Cial Des Epinettes);92130;Issy-les-Moulineaux;;;;;;;;48.818736, 2.261839
café tabac;530487;L'Escale;dimanche;14 Avenue de Verdun;94200;Ivry-sur-Seine;;;;;;;;48.815981, 2.36776
café tabac;530570;La Bonne Fortune;;82 Boulevard Paul Vaillant-Couturier;94200;Ivry-sur-Seine;;;;;;;;48.816907, 2.39924
café tabac;530590;Tabac le Balto;;28 Grande Rue;91260;Juvisy-sur-Orge;;;;;;;;48.688945, 2.376401
café tabac;520676;Le Petit Centre;;40 Rue de la Convention;93120;La Courneuve;;;;;;;;48.928318, 2.389373
café tabac;510577;Hotel de Ville Café;dimanche;12 Rond-Point du Souvenir Français;92250;La Garenne-Colombes;;;;;;;;48.906042, 2.248219
tabac;510663;des Champs Philippe;;4 Place des Champs-Philippe;92250;La Garenne-Colombes;;;;;;;;48.90381, 2.233699
café tabac;520646;Le Pasteur;dimanche;138 Avenue Pasteur;93150;Le Blanc-Mesnil;;;;;;;;48.940316, 2.471032
café tabac;520713;Bar-Tabac Le Start;dimanche;219 Avenue Pierre Brosselette;94170;Le Perreux-sur-Marne;;;;;;;;48.834237, 2.51619
civette;540004;Tabac du Babylone;dimanche;5 Avenue Faidherbe;93310;Le-Pre-Saint-Gervais;;;;;;;;48.879994, 2.411131
café tabac;520581;Tabac d' Hugo;;2 Avenue Victor Hugo;93320;Les Pavillons-sous-Bois;;;;;;;;48.910414, 2.512393
café tabac;510451;Le Lonchamps;;57 Rue Jean Jaurès;92300;Levallois-Perret;;;;;;;;48.892335, 2.293499
café tabac;510457;Le Narval;dimanche;120 Rue Anatole France;92300;Levallois-Perret;;;;;;;;48.895532, 2.281995
tabac loto;510725;Tabac du Parc;dimanche;26 rue Pierre Brossolette;92300;Levallois-Perret;;;;;;;;48.895496, 2.292748
café tabac;520464;Le Rocher;lundi;5 Boulevard  Marx Dormoy;93190;Livry-Gargan;;;;;;;;48.909962, 2.52716
café tabac;530578;Tabac du Pont;lundi;90 Rue du Présidentt François Mitterrand;91160;Longjumeau;;;;;;;;48.695353, 2.294434
tabac presse;530621;Librairie des Coteau;dimanche;10 Rue du Docteur Roux;91160;Longjumeau;;;;;;;;48.6906, 2.293709
café tabac;530463;Le Gambetta;;14 Rue Gambetta;92240;Malakoff;;;;;;;;48.823219, 2.307419
café tabac;530538;Le Montana;dimanche;21 Ter Boulevard de Stalingrad;92240;Malakoff;;;;;;;;48.81134, 2.29515
café tabac;530581;Royal Massy;mercredi;48 Rue Gabriel Péri;91300;Massy;;;;;;;;48.730086, 2.276435
tabac presse;530607;Tabac du Languedoc;;6 Rue d'Alger;91300;Massy;;;;;;;;48.734642, 2.294502
café tabac;510192;Seventeen;dimanche;17bis Rue Marcel Allegot;92190;Meudon;;;;;;;;48.821108, 2.227821
café tabac;510458;A Rabelais;;32 Rue de la République;92190;Meudon;;;;;;;;48.807936, 2.235973
café tabac;520652;Tabac de la Cité;;221 Boulevard Théophile Sueur;93100;Montreuil;;;;;;;;48.859218, 2.466857
café tabac;520675;Tabac des 7 Chemins;;72 Boulevard Paul Vaillant Couturier;93100;Montreuil;;;;;;;;48.867945, 2.446659
café tabac;540625;Le Villiers;dimanche;100 Avenue Pasteur;93100;Montreuil;;;;;;;;48.867377, 2.434687
café tabac;510440;Tabac de la Boule;dimanche;5 Place de la Boule;92000;Nanterre;;;;;;;;48.886829, 2.201051
civette;510669;Civette de Neuilly;;105 Avenue Charles de Gaulle;92200;Neuilly-sur-Seine;;;;;;;;48.881045, 2.271068
tabac loto;520331;Au Petit Tabac;dimanche;2 Avenue Édouard Vaillant;93500;Pantin;;;;;;;;48.897091, 2.40018
café tabac;520589;Le Royal 4 Chemins;lundi;70 Avenue Jean Jaurès;93500;Pantin;;;;;;;;48.903242, 2.391915
tabac;530156;Et Cetera;dimanche;10 Rue des Halles;75001;Paris;;;;;;;;48.859738, 2.346915
café tabac;530294;Le Café Frappé;dimanche;95 Rue Montmartre;75002;Paris;;;;;;;;48.867935, 2.343592
café tabac;520637;La Violette;;5 Boulevard de Saint-Denis;75003;Paris;;;;;;;;48.869006, 2.354899
librairie;520311;Tabac-Loto-Presse;;26 Rue de Rivoli;75004;Paris;;;;;;;;48.856017, 2.358207
café tabac;520326;Le Troquet du Temple;dimanche;9 Rue du Temple;75004;Paris;;;;;;;;48.857848, 2.352786
café tabac;520608;Le Week-End;;42 Boulevard Henri IV;75004;Paris;;;;;;;;48.852361, 2.367002
tabac presse;520649;Le Victoria;dimanche;6 Rue Saint-Martin;75004;Paris;;;;;;;;48.857458, 2.349493
tabac;530140;La Corona;dimanche;21 Boulevard Saint-Michel;75005;Paris;;;;;;;;48.851544, 2.34347
café tabac;540653;Tabac de l'Arrivée;dimanche;14 Boulevard de L'Hopital;75005;Paris;;;;;;;;48.842263, 2.363174
civette;530357;Tabac Eiffel;;22 Avenue de la Bourdonnais;75007;Paris;;;;;;;;48.858934, 2.297873
tabac;540474;Le Castel;dimanche;5 Avenue de Suffren;75007;Paris;;;;;;;;48.856897, 2.292209
café tabac;510582;Tabac Le Derby;dimanche;15 Rue la Boétie;75008;Paris;;;;;;;;48.874141, 2.317779
café tabac;510235;Le Vizir;dimanche;42 Rue Lafayette;75009;Paris;;;;;;;;48.874628, 2.339564
café tabac;510339;Café Drouot;dimanche;10 Rue Drouot (angle du 4 Rue Rossini);75009;Paris;;;;;;;;48.873173, 2.339205
café tabac;520480;Le Jean Bart;;129 Rue du Faubourg du Temple;75010;Paris;;;;;;;;48.871638, 2.37557
café tabac;520656;Le Royal Strasbourg;;34 Boulevard  de Strasbourg;75010;Paris;;;;;;;;48.871994, 2.355989
café tabac;520013;Madi's Sons;dimanche;92 Rue de la Roquette;75011;Paris;;;;;;;;48.856262, 2.37677
café tabac;520425;Le Lutecia;dimanche;36 Rue Oberkampf;75011;Paris;;;;;;;;48.864242, 2.371411
tabac presse;520558;Tabac Le Jean Bart;;17 Rue Pétion;75011;Paris;;;;;;;;48.858917, 2.381263
café tabac;520562;Tabac l' Estaminet;dimanche;10 Rue Jean-Pierre Timbaud;75011;Paris;;;;;;;;48.865025, 2.367419
café tabac;520590;Le 1930;;128 Rue de Charonne;75011;Paris;;;;;;;;48.855094, 2.387401
café tabac;520633;Le Voltaire;;130 Boulevard Voltaire;75011;Paris;;;;;;;;48.857461, 2.380364
tabac loto;520654;Tabac Roquette;dimanche;41 Rue de la Roquette;75011;Paris;;;;;;;;48.855355, 2.373853
café tabac;540044;L'Étoile D'Or;dimanche;94 Avenue Philippe Auguste;75011;Paris;;;;;;;;48.855636, 2.391648
civette;520237;La Civette Dorée;dimanche;3 Boulevard  Soult;75012;Paris;;;;;;;;48.835896, 2.406696
tabac loto;520582;Tabac du Canon;dimanche;2 Place de la Nation;75012;Paris;;;;;;;;48.848425, 2.394171
tabac;520642;Le Totem;;96 Boulevard  Diderot;75012;Paris;;;;;;;;48.846963, 2.384783
civette;540548;La Civette de Bercy;;4 Passage Saint-Emilion;75012;Paris;;;;;;;;48.833066, 2.387022
tabac;530194;La Bouffarde;dimanche;124 Rue de Tolbiac;75013;Paris;;;;;;;;48.82628, 2.359471
tabac loto;530197;Tabac Anaïs;dimanche;12 Boulevard  Vincent Auriol;75013;Paris;;;;;;;;48.83714, 2.372512
café tabac;530291;Tabac  Arago;dimanche;53 Boulevard Arago;75013;Paris;;;;;;;;48.834776, 2.345109
tabac presse;530384;Maison de la Presse;dimanche;137 Boulevard Auguste Blanqui;75013;Paris;;;;;;;;48.830908, 2.343073
tabac;530606;Tabac de Choisy;;47 Avenue de Choisy;75013;Paris;;;;;;;;48.82251, 2.362614
café tabac;530614;Tabac le Rond Point;dimanche;32 Rue de Vergniaud;75013;Paris;;;;;;;;48.828073, 2.345544
tabac presse;530622;Le Lonchamps;dimanche;21 rue de la Butte aux Cailles;75013;Paris;;;;;;;;48.827621, 2.349661
tabac presse;530272;Tabac de la Mairie;dimanche;165 Avenue du Maine;75014;Paris;;;;;;;;48.832913, 2.325056
café tabac;540360;Le Maryland;dimanche;108 Rue Didot;75014;Paris;;;;;;;;48.826499, 2.313129
café tabac;540361;La Royale;dimanche;80 Rue de l'Amiral Mouchez;75014;Paris;;;;;;;;48.821005, 2.342826
tabac loto;510413;Tabac Le Village;lundi;70 Rue des Entrepreneurs;75015;Paris;;;;;;;;48.844936, 2.289621
tabac loto;510594;L'Ariel;dimanche;197 Rue Lecourbe;75015;Paris;;;;;;;;48.840363, 2.295665
tabac;510601;La Carotte Motte Piq;;55-57 Avenue de la Motte-Picquet;75015;Paris;;;;;;;;48.849789, 2.299275
café tabac;510647;Le Falguière;;129 Rue de Vaugirard;75015;Paris;;;;;;;;48.844485, 2.318257
café tabac;510701;Le Celtic;dimanche;1 Rue Mademoiselle;75015;Paris;;;;;;;;48.843598, 2.293521
café tabac;510225;Le Kennedy;dimanche;12 Avenue de Versailles;75016;Paris;;;;;;;;48.850819, 2.277285
café tabac;510290;Le Balto;dimanche;63 Avenue de la Grande Armée;75016;Paris;;;;;;;;48.876098, 2.286601
café tabac;510486;Le Royal Exelmans;;171 Avenue de Versailles;75016;Paris;;;;;;;;48.840507, 2.264982
café tabac;510541;Tabac Franklin;;4 Rue Benjamin Franklin;75016;Paris;;;;;;;;48.859016, 2.284963
tabac loto;510620;Le Drugstore;;112 Rue Lauriston;75016;Paris;;;;;;;;48.865978, 2.285961
tabac loto;510409;Royal Clichy;dimanche;73 Avenue de Clichy;75017;Paris;;;;;;;;48.887885, 2.324621
café tabac;510512;Le Narval;;17 Rue des Dames;75017;Paris;;;;;;;;48.884823, 2.324911
café tabac;510523;Le Lutetia;dimanche;161 Rue Legendre;75017;Paris;;;;;;;;48.891134, 2.325208
tabac;510538;Le Calumet;dimanche;145 Avenue de Villiers;75017;Paris;;;;;;;;48.885438, 2.292172
tabac;510615;Tabac Place Pereire;;123 Boulevard Pereire;75017;Paris;;;;;;;;48.885188, 2.298261
tabac loto;510624;La Rose des Sables;dimanche;22 Boulevard Gouvion-Saint-Cyr;75017;Paris;;;;;;;;48.883899, 2.288489
tabac;510653;Tab'shop Batignolles;;24 Place Charles Fillion;75017;Paris;;;;;;;;48.888557, 2.315952
café tabac;510694;Le Brazza;lundi;53 Rue de Tocqueville;75017;Paris;;;;;;;;48.885217, 2.310378
café tabac;510524;Le Nouveau Siècle;;156 Avenue de Saint-Ouen;75018;Paris;;;;;;;;48.897365, 2.32908
tabac presse;510592;Tabac 68;dimanche;68 Rue du Poteau;75018;Paris;;;;;;;;48.8955, 2.339991
café tabac;510619;La Royale;;2 Place de la Chapelle;75018;Paris;;;;;;;;48.884655, 2.360809
café tabac;510733;Le Morzine;;63 Rue Doudeauville;75018;Paris;;;;;;;;48.888231, 2.351672
tabac loto;520266;Le Cadre Noir;dimanche;38 Rue de Joinville;75019;Paris;;;;;;;;48.890944, 2.378074
café tabac;520391;Le Concorde;dimanche;146 Avenue Jean Jaurès;75019;Paris;;;;;;;;48.886995, 2.386895
café tabac;520472;Le Navigateur;dimanche;103 Avenue Simon Bolivar;75019;Paris;;;;;;;;48.878115, 2.374024
librairie;520534;Karr Presse;;37 Rue Alphonse Karr;75019;Paris;;;;;;;;48.895462, 2.379528
tabac loto;520583;Civette Télègraphe;;1 Rue de Romainville;75019;Paris;;;;;;;;48.875743, 2.399209
café tabac;520661;Tabac le Rallye;dimanche;107 Rue Manin;75019;Paris;;;;;;;;48.883338, 2.388079
tabac loto;520516;Tabac La Gascogne;dimanche;1 Square de la Gascogne;75020;Paris;;;;;;;;48.854236, 2.410862
tabac librairie;520575;Tabac Au Bon Coin;;2 Boulevard  Davout;75020;Paris;;;;;;;;48.847548, 2.411524
café tabac;520399;Le Ninos;dimanche;203 Avenue Elisée Reclus;93380;Pierrefitte-sur-Seine;;;;;;;;48.950241, 2.357871
café tabac;520503;Bar l'Express;;2 Place du Général Leclerc;93380;Pierrefitte-sur-Seine;;;;;;;;48.964533, 2.372136
tabac presse;510240;Le Valmy;dimanche;4 Cours Valmy;92800;Puteaux;;;;;;;;48.892434, 2.232496
tabac presse;510500;Le Totem;dimanche;81 Avenue du Gén. de Gaulle;92800;Puteaux;;;;;;;;48.886588, 2.231546
café tabac;520422;Le Carnot;dimanche;1 Avenue de Verdun;93230;Romainville;;;;;;;;48.883674, 2.440312
café tabac;520673;Le Brazza;mardi;8 Route de Montreuil;93230;Romainville;;;;;;;;48.878607, 2.449219
café tabac;520565;La Tabatière;dimanche;31 Rue Philibert Hoffmann;93110;Rosny-sous-Bois;;;;;;;;48.881062, 2.485859
tabac loto;520689;Tabac de l'église;lundi;2 Rue du Général Gallieni;93110;Rosny-sous-Bois;;;;;;;;48.873971, 2.482209
café tabac;510251;Le Marigny;jeudi;92 Rue Danton;92500;Rueil-Malmaison;;;;;;;;48.877794, 2.196545
tabac loto;510686;Le Tobacco;dimanche;4 Allée de L'Hôtel de Ville;92500;Rueil-Malmaison;;;;;;;;48.878244, 2.181614
café;510481;Le Beau Site;dimanche;140 Boulevard de la République;92210;Saint-Cloud;;;;;;;;48.851946, 2.213006
café tabac;510623;Le Magenta;dimanche;1 Place Magenta;92210;Saint-Cloud;;;;;;;;48.842199, 2.207451
café tabac;520337;Le Métropole;dimanche;32 Rue de la République;93200;Saint-Denis;;;;;;;;48.93644, 2.355045
tabac loto;520527;Tabac-Presse;;2 Rue Gaston Philippe;93200;Saint-Denis;;;;;;;;48.93872, 2.350888
café tabac;530608;Le Jubilé;dimanche;93 Rue Lafayette;94100;Saint-Maur-des-Fossés;;;;;;;;48.791313, 2.488079
café tabac;530449;Café du Centre;;264 Rue du Maréchal Leclerc;94410;Saint-Maurice;;;;;;;;48.815612, 2.460438
café tabac;520719;La Tabatière;dimanche;4 Place de la Libération;95200;Sarcelles;;;;;;;;48.996121, 2.378002
café tabac;530433;Tabac de la Gare;dimanche;3 Place  de la Gare;91600;Savigny-sur-Orge;;;;;;;;48.675943, 2.351519
café tabac;530591;Le Nemrod;dimanche;35 Boulevard Aristide Briand;91600;Savigny-sur-Orge;;;;;;;;48.68287, 2.344071
tabac loto;520729;Le Terminus;;10 Rue de la Gare;93270;Sevran;;;;;;;;48.935535, 2.534049
tabac loto;510466;L'Européen;;22 Avenue de l'Europe;92310;Sèvres;;;;;;;;48.822283, 2.206929
tabac loto;540180;Civette du Globe;lundi;107 Avenue de Stalingrad;93240;Stains;;;;;;;;48.950011, 2.38628
tabac librairie;510402;Le Charles X;;100 Rue de la Liberté;92150;Suresnes;;;;;;;;48.879587, 2.219089
café tabac;530561;Bar du Marché;;9 Place du Marché;94320;Thiais;;;;;;;;48.764929, 2.390947
café tabac;510711;Le Maryland;mercredi;24 rue de la République;92170;Vanves;;;;;;;;48.820494, 2.285819
tabac presse;510717;Tabac Presse du Mail;dimanche;28 Avenue du Général de Gaulle (Ccial du Mail);78140;Vélizy Villacoublay;;;;;;;;48.784545, 2.18222
tabac loto;530520;Tabac Presse;;92 Rue Youri Gagarine;94800;Villejuif;;;;;;;;48.783396, 2.357725
café tabac;510256;La Rotonde;;13 Rue Henri Barbusse;92390;Villeneuve-la-Garenne;;;;;;;;48.936061, 2.334259
tabac presse;520253;Tabac de La Gare;dimanche;12 Place de la Gare;94350;Villiers-sur-Marne;;;;;;;;48.823523, 2.541998
café tabac;540024;Le Berry;dimanche;64 Boulevard de la Libération;94300;Vincennes;;;;;;;;48.847769, 2.44641
tabac librairie;530317;Clair de Plume;dimanche;34 Avenue Youri Gagarine;94400;Vitry-sur-Seine;;;;;;;;48.785241, 2.392054
café tabac;530511;Le Gitane;lundi;110 Avenue du Colonel Fabien;94400;Vitry-sur-Seine;;;;;;;;48.787079, 2.376588
