zdc,latitude,longitude
61285,48.31096639976272,2.9232449185211427
61289,48.31493872441658,2.6836225805799936
61291,48.31580234941868,2.902090914590275
61293,48.317178049140345,2.570493870803666
417719,48.978699955192305,1.6894937730717143
417725,49.00413740705742,1.6969101574610563
422805,48.892262411934645,2.297446736445412
417712,48.97194720909283,1.6978742706922971
422826,49.111475261338185,1.9323480769276138
419849,49.02715232372328,2.1989448978108683
419853,49.02881611495506,2.2084710404455046
61114,48.19430553132197,2.899012341606532
61116,48.20094889579636,2.7392883603111042
61110,48.18988568616155,2.7560495836304386
419830,48.99810825593615,2.1450469967393455
61104,48.18832437885709,2.7538095817189268
61102,48.186462749777,2.7315419983388334
61109,48.18908865895307,2.7348524240313736
61107,48.18799437518739,2.736405394423319
61101,48.183862079918065,2.8218129221114125
61134,48.221606850843955,2.7958531623144136
61139,48.22660784605303,2.7127678963411874
61138,48.22489245195569,2.743485812221596
61123,48.205784517335275,2.781006506034134
61129,48.2125233929696,2.823708606236664
61150,48.23512179304899,2.700896331129218
61155,48.23649697016068,2.9052079443807557
61157,48.237278504218175,2.7033758483963743
417693,48.976089002516154,1.6463189787051136
61145,48.229950466939734,2.7036326933140242
61143,48.22975065576996,2.669030219623082
61148,48.23368112537977,2.62625133379158
61146,48.23195862859376,2.6885308568962953
417682,48.971569311587636,1.7305740369863367
61162,48.2402926719524,2.6997827008862023
61164,48.24271776788578,2.8667595304414997
61165,48.24427703905358,2.6973824448200796
61166,48.244698394999304,2.6135039232452812
61170,48.24457427171302,2.69926664644881
417678,48.91448892033792,2.1978956291749863
61173,48.2465838235149,2.695193597114339
61171,48.24592867107179,2.600596253479492
61177,48.25059790635236,2.6956284546671894
61175,48.25012136886327,2.692283367197041
61180,48.25356155773852,2.702273776832312
61189,48.25559970070258,3.017171954103074
61183,48.25559492638818,2.7022353489571915
61192,48.260768598201544,2.7022532930264975
61199,48.263591875829576,2.6996971940141004
61198,48.263254201600695,2.680705339829255
61196,48.26259096181991,2.693585077523986
61194,48.264602633654604,2.7026763441630512
