stop_id_a,nom_a,stop_id_b,nom_b,duree_moyenne_secondes,nb_observations
IDFM:21949,"Porte des Lilas",IDFM:463223,"Mairie des Lilas",76,741
IDFM:463223,"Mairie des Lilas",IDFM:490787,"Serge Gainsbourg",63,742
IDFM:490787,"Serge Gainsbourg",IDFM:490788,"Romainville - Carnot",77,742
IDFM:490788,"Romainville - Carnot",IDFM:490789,"Montreuil - Hôpital",88,742
IDFM:490789,"Montreuil - Hôpital",IDFM:490791,"La Dhuys",80,742
IDFM:490791,"La Dhuys",IDFM:490792,"Coteaux Beauclair",54,742
IDFM:490792,"Coteaux Beauclair",IDFM:490793,Rosny-Bois-Perrier,99,742
IDFM:490772,Rosny-Bois-Perrier,IDFM:490770,"Coteaux Beauclair",97,738
IDFM:490770,"Coteaux Beauclair",IDFM:490768,"La Dhuys",56,738
IDFM:490768,"La Dhuys",IDFM:490766,"Montreuil - Hôpital",80,738
IDFM:490766,"Montreuil - Hôpital",IDFM:490764,"Romainville - Carnot",87,738
IDFM:490764,"Romainville - Carnot",IDFM:490762,"Serge Gainsbourg",78,739
IDFM:490762,"Serge Gainsbourg",IDFM:21999,"Mairie des Lilas",65,739
IDFM:21999,"Mairie des Lilas",IDFM:463263,"Porte des Lilas",74,739
IDFM:463263,"Porte des Lilas",IDFM:21993,Télégraphe,79,739
IDFM:21993,Télégraphe,IDFM:21951,"Place des Fêtes",57,739
IDFM:21951,"Place des Fêtes",IDFM:21995,Jourdain,41,739
IDFM:21995,Jourdain,IDFM:463287,Pyrénées,44,739
IDFM:463287,Pyrénées,IDFM:463110,Belleville,67,739
IDFM:463110,Belleville,IDFM:21996,Goncourt,51,739
IDFM:21996,Goncourt,IDFM:21937,République,45,739
IDFM:21937,République,IDFM:463108,"Arts et Métiers",77,739
IDFM:463108,"Arts et Métiers",IDFM:21992,Rambuteau,58,739
IDFM:21992,Rambuteau,IDFM:463061,"Hôtel de Ville",46,739
IDFM:463061,"Hôtel de Ville",IDFM:21966,Châtelet,44,739
IDFM:21967,"Gare d'Austerlitz",IDFM:463077,Jussieu,108,466
IDFM:463077,Jussieu,IDFM:463141,"Cardinal Lemoine",56,466
IDFM:463141,"Cardinal Lemoine",IDFM:463237,"Maubert - Mutualité",57,466
IDFM:463237,"Maubert - Mutualité",IDFM:21983,"Cluny - La Sorbonne",42,466
IDFM:21983,"Cluny - La Sorbonne",IDFM:462998,Odéon,41,466
