code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C00213,73565,74244,"Claude Nicolas Ledoux","Rue du Sausset",180,384
C00213,73594,73596,"Rue des Vignes","Aéroport CDG 1 (Terminal 3)",180,191
C00213,73592,73594,"Rue du Châpitre","Rue des Vignes",120,384
C00213,73594,462531,"Rue des Vignes","Aéroport CDG - Terminal 2 (Route de service)",120,193
C00213,73596,462531,"Aéroport CDG 1 (Terminal 3)","Aéroport CDG - Terminal 2 (Route de service)",360,193
C00213,69123,73573,"190 rue des Chardonnerets","227 Avenue des Nations / 89 rue des Chardonnerets",60,384
C00213,69129,73991,"Rue de la belle Étoile / Avenue du Bois de la Pie / Parc des Nations","Centre Commercial Aéroville",240,384
C00213,73486,73503,"Parmentier / Saint Vincent de Paul",Poste,60,384
C00213,73531,73545,"Parc de la Noue","Les Mousseaux",60,384
C00213,69165,73592,"Les Deux Cèdres","Rue du Châpitre",60,384
C00213,73482,480711,"Vert Galant",Stade,120,193
C00213,73482,73486,"Vert Galant","Parmentier / Saint Vincent de Paul",480,191
C00213,73590,73591,Marguilliers,"Cargo Centre",60,384
C00213,73567,73570,"22, avenue des Nations","Plaine de France",120,384
C00213,73560,73565,"Cimetière de Villepinte","Claude Nicolas Ledoux",60,384
C00213,73504,73525,"Fontaine Mallet","La Roseraie / Leclerc",60,384
C00213,73573,73578,"227 Avenue des Nations / 89 rue des Chardonnerets","Avenue de la Pyramide",60,204
C00213,73590,73991,Marguilliers,"Centre Commercial Aéroville",60,384
C00213,65571,74267,"Centre Commercial Paris Nord 2 / Érables","57-69 Rue de la Belle Étoile",60,335
C00213,73571,74267,Epis,"57-69 Rue de la Belle Étoile",120,49
C00213,73550,73560,"Route de Tremblay","Cimetière de Villepinte",60,384
C00213,69165,73591,"Les Deux Cèdres","Cargo Centre",60,336
C00213,73503,73519,Poste,"Place René Droulot",60,354
C00213,65571,73571,"Centre Commercial Paris Nord 2 / Érables",Epis,60,335
C00213,74010,424029,"Georges Sachet / Jussieu","Les Fougères",60,191
C00213,73486,480711,"Parmentier / Saint Vincent de Paul",Stade,60,193
C00213,69097,73581,"165-170 Rue de la Belle Étoile","230 Rue de la Belle Etoile",60,121
C00213,69086,69097,"123 Rue de la Belle Étoile","165-170 Rue de la Belle Étoile",60,263
C00213,73545,73550,"Les Mousseaux","Route de Tremblay",60,328
C00213,73504,74010,"Fontaine Mallet","Georges Sachet / Jussieu",60,384
C00213,73578,73581,"Avenue de la Pyramide","230 Rue de la Belle Etoile",60,204
C00213,73519,73525,"Place René Droulot","La Roseraie / Leclerc",60,384
C00213,73567,73568,"22, avenue des Nations","Parc des Expositions",60,384
C00213,69086,74267,"123 Rue de la Belle Étoile","57-69 Rue de la Belle Étoile",60,121
C00213,73531,424029,"Parc de la Noue","Les Fougères",60,384
C00213,73570,73571,"Plaine de France",Epis,60,221
C00213,69123,69129,"190 rue des Chardonnerets","Rue de la belle Étoile / Avenue du Bois de la Pie / Parc des Nations",60,208
C02059,65720,69161,"Les Mines","Église Saint Eloi / Charles de Gaulle",300,75
C02059,69205,73596,"Zone Technique","Aéroport CDG 1 (Terminal 3)",300,35
C02059,69207,73591,"Entretien Nord","Cargo Centre",300,40
C02059,69205,69207,"Zone Technique","Entretien Nord",120,35
C02059,73592,73594,"Rue du Châpitre","Rue des Vignes",120,40
C02059,65704,65834,"Triangle de Gonesse / Patte d'Oie",Cressonnières,120,75
C02059,65926,65949,"Pierre Salvi / Rond-Point du 14 Juillet","Salle des Fêtes",120,75
C02059,73594,462531,"Rue des Vignes","Aéroport CDG - Terminal 2 (Route de service)",180,40
C02059,73596,462531,"Aéroport CDG 1 (Terminal 3)","Aéroport CDG - Terminal 2 (Route de service)",120,40
C02059,65926,66075,"Pierre Salvi / Rond-Point du 14 Juillet","Jules Ferry / École Louise Michel",120,75
C02059,66179,74192,"Louis Perrein","Les Carreaux / Voltaire / Arthur Rimbaud",180,75
C02059,65833,65949,Hôpital,"Salle des Fêtes",60,75
C02059,66251,427474,"Place Gaston Tessier","Place des Marronniers",180,75
C02059,69152,69179,"Le Verger",Orangerie,60,75
C02059,65833,65934,Hôpital,"ZI Arsonval",120,75
C02059,69165,73592,"Les Deux Cèdres","Rue du Châpitre",60,40
C02059,66267,415523,"Victor Hugo","Église / Mairie de Villiers-le-Bel",120,40
C02059,66251,423648,"Place Gaston Tessier",Scribe,60,75
C02059,69190,69207,Convention,"Entretien Nord",60,75
C02059,69179,69187,Orangerie,Airapolis,60,75
C02059,66214,423704,"Pierre Sémard","Jean Bullant",120,75
C02059,415523,482863,"Église / Mairie de Villiers-le-Bel","Les Lierres - Hérivaux",120,35
C02059,74192,423648,"Les Carreaux / Voltaire / Arthur Rimbaud",Scribe,180,75
C02059,65704,65720,"Triangle de Gonesse / Patte d'Oie","Les Mines",60,75
C02059,69165,73591,"Les Deux Cèdres","Cargo Centre",60,7
C02059,66179,66214,"Louis Perrein","Pierre Sémard",120,75
C02059,66252,66268,"Place de la Tolinette","La Cerisaie",60,72
C02059,66252,423704,"Place de la Tolinette","Jean Bullant",60,75
C02059,69152,69161,"Le Verger","Église Saint Eloi / Charles de Gaulle",60,75
C02059,66075,427474,"Jules Ferry / École Louise Michel","Place des Marronniers",60,75
C02059,65834,65934,Cressonnières,"ZI Arsonval",,0
C02059,66340,482863,"Henri Sellier","Les Lierres - Hérivaux",60,35
C02059,69187,69190,Airapolis,Convention,,0
C02059,66268,415523,"La Cerisaie","Église / Mairie de Villiers-le-Bel",120,75
C02059,66267,66340,"Victor Hugo","Henri Sellier",60,40
C02059,66337,66340,"Puits La Marlière","Henri Sellier",60,75
C00612,66009,66187,"Villiers-le-Bel - Gonesse - Arnouville","Place de Lattre de Tassigny / Maréchal Foch",180,130
C00612,66009,66129,"Villiers-le-Bel - Gonesse - Arnouville","Square la Garenne",120,130
C00612,66260,423648,"Raymond Poincaré",Scribe,60,130
C00612,66222,66251,"Square des Sports","Place Gaston Tessier",60,130
C00612,66177,66222,"Aristide Briand - Général Durand","Square des Sports",60,130
C00612,66129,66177,"Square la Garenne","Aristide Briand - Général Durand",120,130
C00612,423648,483637,Scribe,"Place Sangnier",60,130
C00612,66251,66260,"Place Gaston Tessier","Raymond Poincaré",60,130
C00612,66188,483637,"Mairie Annexe La Fauconnière","Place Sangnier",60,149
C00612,66187,483637,"Place de Lattre de Tassigny / Maréchal Foch","Place Sangnier",60,111
C00610,65646,72775,Berthelot,"Centre Commercial O'Parinor",450,146
C00610,65286,65646,"Ferme Saint-Simon",Berthelot,360,56
C00610,65372,72775,"ZAC Les Tulipes Nord","Centre Commercial O'Parinor",330,56
C00610,65758,65771,"Fontaine Cypierre","Mairie de Gonesse",60,364
C00610,72757,72775,"Route de Gonesse","Centre Commercial O'Parinor",150,56
C00610,72656,72672,Mairie,"Anatole France / Jean Charcot",120,28
C00610,65737,65741,"Jean Jaurès",Saint-Nicolas,120,364
C00610,72646,72672,Aulnay-sous-Bois,"Anatole France / Jean Charcot",120,28
C00610,72681,72698,L'Herminier,Marceau,120,56
C00610,72711,72726,"Francisco Ferrer","Croix Rouge",120,56
C00610,65758,421852,"Fontaine Cypierre","La Malmaison",60,364
C00610,65737,65760,"Jean Jaurès","La Madeleine / Collège Philippe Auguste",60,364
C00610,65935,66003,"Hector Berlioz",Aubépines,60,364
C00610,65828,65926,"Guy de Maupassant","Pierre Salvi / Rond-Point du 14 Juillet",120,364
C00610,66009,66038,"Villiers-le-Bel - Gonesse - Arnouville","Les Marronniers / Pierre Brossolette",120,364
C00610,72726,72735,"Croix Rouge","Cité Emmaüs",60,56
C00610,72646,72656,Aulnay-sous-Bois,Mairie,60,28
C00610,66003,66038,Aubépines,"Les Marronniers / Pierre Brossolette",60,314
C00610,65318,65372,"21ème Siècle","ZAC Les Tulipes Nord",60,52
C00610,72735,72757,"Cité Emmaüs","Route de Gonesse",120,56
C00610,65741,65771,Saint-Nicolas,"Mairie de Gonesse",60,364
C00610,72698,72711,Marceau,"Francisco Ferrer",60,56
C00610,65280,65318,"ZAC Les Tulipes Sud / Route des Parcs","21ème Siècle",60,28
C00610,65646,421852,Berthelot,"La Malmaison",60,28
C00610,72672,72681,"Anatole France / Jean Charcot",L'Herminier,60,50
C00610,65926,65935,"Pierre Salvi / Rond-Point du 14 Juillet","Hector Berlioz",60,364
C00610,65760,65828,"La Madeleine / Collège Philippe Auguste","Guy de Maupassant",60,364
C00610,65280,65286,"ZAC Les Tulipes Sud / Route des Parcs","Ferme Saint-Simon",,0
C01675,67177,69176,Luzarches,"Roissy Parc / Route de l'Arpenteur",1320,115
C01675,67235,67250,Cimetière,Liberté,240,115
C01675,69205,73596,"Zone Technique","Aéroport CDG 1 (Terminal 3)",300,115
C01675,67177,67186,Luzarches,"Rue de Giez",240,115
C01675,67250,67278,Liberté,"Hôpital Les Oliviers",180,115
C01675,67186,67215,"Rue de Giez",Mascrée,180,115
C01675,67278,422211,"Hôpital Les Oliviers","Souvenir / Centre Aquatique",120,115
C01675,69205,69207,"Zone Technique","Entretien Nord",180,115
C01675,69176,69207,"Roissy Parc / Route de l'Arpenteur","Entretien Nord",120,115
C01675,67230,422285,"La Croix Boissiée / Place de Cutigliano",Fréchot,60,115
C01675,67277,67292,"Les Tourelles","Persan - Beaumont",180,115
C01675,67215,422285,Mascrée,Fréchot,120,115
C01675,67277,422211,"Les Tourelles","Souvenir / Centre Aquatique",60,115
C01675,67230,67235,"La Croix Boissiée / Place de Cutigliano",Cimetière,60,115
C00209,69205,462531,"Zone Technique","Aéroport CDG - Terminal 2 (Route de service)",420,76
C00209,69205,73596,"Zone Technique","Aéroport CDG 1 (Terminal 3)",300,97
C00209,66378,69176,"La Talmouse","Roissy Parc / Route de l'Arpenteur",180,173
C00209,69205,69207,"Zone Technique","Entretien Nord",180,173
C00209,66376,66448,"Avenue Bocquet / Paillard",Calvaire,180,144
C00209,73592,73594,"Rue du Châpitre","Rue des Vignes",120,74
C00209,73594,462531,"Rue des Vignes","Aéroport CDG - Terminal 2 (Route de service)",120,74
C00209,73596,462531,"Aéroport CDG 1 (Terminal 3)","Aéroport CDG - Terminal 2 (Route de service)",180,150
C00209,66448,66515,Calvaire,"Carrefour de l'Europe",180,86
C00209,66328,66376,"Chemin de Saint Denis","Avenue Bocquet / Paillard",120,26
C00209,66588,419673,"Marché de Goussainville / Stade Maurice Baquet","Marcel Cerdan",180,86
C00209,69165,73592,"Les Deux Cèdres","Rue du Châpitre",60,36
C00209,66319,66431,"Pont Chinois","Le Moulin / Rond-Point du Thillay",60,29
C00209,419673,488099,"Marcel Cerdan","Rond-Point de l'Europe",120,87
C00209,66448,488099,Calvaire,"Rond-Point de l'Europe",120,87
C00209,66535,66588,Goussainville,"Marché de Goussainville / Stade Maurice Baquet",120,87
C00209,66710,66737,Montgolfier,"Cachin Blatreux",60,86
C00209,69190,69207,Convention,"Entretien Nord",60,173
C00209,73590,73591,Marguilliers,"Cargo Centre",60,74
C00209,69172,69176,Passerelle,"Roissy Parc / Route de l'Arpenteur",60,173
C00209,66278,66328,"Les Charmilles","Chemin de Saint Denis",60,17
C00209,66376,66378,"Avenue Bocquet / Paillard","La Talmouse",120,173
C00209,69177,69187,Village,Airapolis,120,173
C00209,66431,66448,"Le Moulin / Rond-Point du Thillay",Calvaire,120,29
C00209,73590,73991,Marguilliers,"Centre Commercial Aéroville",60,52
C00209,66644,66663,"Avenue des Tilleuls / Espérance","Ampère - Chartrel",60,167
C00209,69165,73591,"Les Deux Cèdres","Cargo Centre",120,74
C00209,69172,69177,Passerelle,Village,60,161
C00209,66683,66709,"Henri Dunant","École Gabriel Péri",120,87
