zdc,label,commune,latitude,longitude
60655,"Les Pâquerettes",Pecqueuse,48.64755662,2.04642964
64455,Lavoir,Andelu,48.88030456,1.82802383
64214,Chevreloup,Bailly,48.83607846,2.09510812
64260,Butard,"La Celle-Saint-Cloud",48.84405743,2.14669546
61625,"La Goujonne",Saint-Sauveur-lès-Bray,48.42791914,3.22229821
68282,"Collège Mon Plaisir",Crécy-la-Chapelle,48.85876114,2.91440723
68410,"Chemin de Rebais",Bouleurs,48.87480532,2.90317403
66857,Place,Blaru,49.0475633,1.47843265
66811,Château,Jambville,49.0463523,1.85173073
63219,Fraternité,Magny-les-Hameaux,48.7217068,2.07999404
64127,"Square de Camargue",Villepreux,48.82291171,2.00030265
73826,Chaudron,Saint-Martin-des-Champs,48.79669464,3.3429585
68722,"Petit Villiers",Bassevelle,48.91212564,3.2600299
68367,"Le Vautron",Sablonnières,48.86706008,3.28825425
67508,"Moulin de Chassefaim",Beton-Bazoches,48.70270437,3.22203999
67554,"La Croix Camus",Dagny,48.71486081,3.15652422
67692,"La Tuilerie",Choisy-en-Brie,48.75569674,3.21313803
67887,"Les Sables",Chailly-en-Brie,48.80207534,3.1264253
67786,"Le Puit - Rouville",Beautheil-Saints,48.78494373,3.09586983
67607,Michenon,Leudon-en-Brie,48.73363327,3.27120165
67908,Voigny,Jouy-sur-Morin,48.80567483,3.26316177
68104,"Saint Blandin",Maisoncelles-en-Brie,48.83596625,2.98865166
68887,"Sainte Beuve","La Ferté-sous-Jouarre",48.94760958,3.12699748
68005,"La Villeneuve",Guérard,48.82451702,2.98345113
425998,"La Vanne",Saint-Siméon,48.80139827,3.21105115
67937,"Les Ormeaux",Saint-Rémy-la-Vanne,48.8125271,3.24230725
67667,"Maison Meunier",Beautheil-Saints,48.74930313,3.06585531
67772,Lotissement,Saint-Martin-des-Champs,48.77886969,3.3266062
67597,Fontenelle,Saint-Mars-Vieux-Maisons,48.73111127,3.33303772
68245,"Petit Marché",Saint-Léger,48.85109848,3.26831069
68126,"Champ Colin / Champ la Dame D222",Saint-Denis-lès-Rebais,48.83769387,3.17941343
68154,"Les Pleux D222",Saint-Denis-lès-Rebais,48.84151709,3.19038105
67761,"Courte Soupe",Marolles-en-Brie,48.77645966,3.16454714
60771,"Bas Rochers","La Ville-du-Bois",48.65284782,2.26801788
70367,Bibliothèque,Arcueil,48.80500255,2.33452724
64399,"Glaxo Rougemonts",Marly-le-Roi,48.8713823,2.10508812
68716,"Les Vignolles",Mareuil-lès-Meaux,48.91750836,2.8545463
69457,Vaux,Coulombs-en-Valois,49.1009768,3.13278189
69121,"Rouge Bourse",Chamigny,48.97305896,3.13435378
73757,"Quai Planson","La Ferté-sous-Jouarre",48.94868298,3.13227016
68897,"Pierre Marx","La Ferté-sous-Jouarre",48.94958463,3.12150005
69340,Nongloire,Douy-la-Ramée,49.06072998,2.89259264
480955,"Montpichet - République",Bouleurs,48.87741433,2.9044508
462679,Montgrolle,Crécy-la-Chapelle,48.85972273,2.94358679
479648,Mauperthuis,Sancy,48.87447247,2.97191493
68453,"Hameau de Sarcy",Bouleurs,48.8777923,2.93100993
68290,"Bas de Villiers",Villiers-sur-Morin,48.8602456,2.88319251
62777,Voltaire,Bures-sur-Yvette,48.69343518,2.14900491
62786,"Butte Sainte Catherine",Villebon-sur-Yvette,48.6936366,2.20829573
63422,"Voie de Châtenay",Verrières-le-Buisson,48.7565629,2.26885596
69989,"Maison des Arts","Le Plessis-Robinson",48.77771433,2.25379402
69969,"Les Sculpteurs","Le Plessis-Robinson",48.77562075,2.25125198
65746,"Le Val Comtat",Cravent,48.9813999,1.48287045
421831,Champarts,Chilly-Mazarin,48.71208595,2.30363428
66593,"Arrêt de cars",Notre-Dame-de-la-Mer,49.0261378,1.53603388
61849,Montgermont,Pringy,48.51620921,2.544796
69951,"Chevilly - Dahlias",L'Haÿ-les-Roses,48.77496295,2.3476746
69988,"Rue Paul Hochart",Chevilly-Larue,48.77726651,2.36118636
74221,"Héréville Transformateur",Arronville,49.17054172,2.11727764
62179,"Espace Saint-Exupéry",Rubelles,48.56632945,2.67855411
67046,Isobox,Limetz-Villez,49.06411019,1.54815541
66739,"Le Chênet",Blaru,49.03883779,1.48610256
479906,"Place Hubeaut",Courcelles-sur-Viosne,49.07861997,2.00320455
478856,"Les Bâtes",Limay,49.00071266,1.72257663
64623,Lotissement,Mondreville,48.90214751,1.55447422
66604,Mairie,Oinville-sur-Montcient,49.02935668,1.85272202
65482,"Le Pelleray",Saint-Illiers-la-Ville,48.96740219,1.53689579
64867,Launay,Neauphlette,48.93331549,1.55100072
66454,"La Chartre",Brueil-en-Vexin,49.019081,1.82330604
65265,"Clos du Rame",Fontenay-Mauvoisin,48.96365088,1.65110932
66986,"Claude Monet",Moisson,49.06357841,1.6946167
482701,Chêneaux,Bonnières-sur-Seine,49.03327136,1.58571455
66610,Cavée,Oinville-sur-Montcient,49.03034608,1.84430315
65541,"La Petite Gamacherie",Bréval,48.97371344,1.56648731
65545,"La Grande Gamacherie",Bréval,48.9743884,1.5627663
65197,Bléry,Boissy-Mauvoisin,48.96627841,1.5963751
67340,"Place des Fêtes",Chars,49.15940002,1.93683021
74243,Myosotis,Arronville,49.1794191,2.10431672
74259,Toussaint,Ambleville,49.15391751,1.70566478
481651,"Salle des Fêtes",Chaussy,49.12333124,1.69030285
415871,"Rue Henri IV",Wy-dit-Joli-Village,49.10210832,1.83341835
66987,"Rue de l'Orme",Vétheuil,49.06448649,1.70457044
67200,Mairie,Santeuil,49.125925,1.95021777
67349,Libération,Chars,49.16137864,1.92978362
67261,"Orée du Bois",Hodent,49.14146304,1.76638999
67263,Mairie,Omerville,49.14033655,1.72135405
67342,"Le Mesnil",Omerville,49.15951475,1.71025496
67095,"Enfer Centre",Wy-dit-Joli-Village,49.08699098,1.80851237
74156,Église,Cléry-en-Vexin,49.12846092,1.83962117
67214,École,Genainville,49.12801869,1.75577595
482558,"Hacquinières - Marceau",Gif-sur-Yvette,48.68966814,2.14298644
480530,"Montchauvet Haut",Montchauvet,48.89178473,1.62775084
65844,"Collège Albert Camus",Gargenville,48.98967607,1.81985869
66072,Lommoye,Rosny-sur-Seine,48.9953324,1.62866516
65347,Mairie,Perdreauville,48.9665316,1.62521773
65240,"La Justice",Bréval,48.95854209,1.53680367
65288,Gaudimonts,Perdreauville,48.96141964,1.6288358
67057,"Côteaux de Seine",Moisson,49.07446294,1.66060186
416502,"Nungesser et Coli",Rosny-sous-Bois,48.88072593,2.48955714
480708,"Val Vert",Gif-sur-Yvette,48.69796316,2.14071028
412620,"Mail Sud",Pithiviers,48.1720188,2.25373024
60025,"Les Sources",Breuillet,48.57770159,2.17611447
65707,"Apremont le Clos",Perdreauville,48.98141775,1.61520471
482338,"Mare à l'Ogre",Flins-Neuve-Église,48.89101459,1.57566634
59908,Baville,Saint-Chéron,48.55854776,2.13040608
482882,Villiers,Longpont-sur-Orge,48.64551841,2.29060646
60046,Cimetière,Égly,48.58092164,2.21736099
479485,"La Donnerie",Bruyères-le-Châtel,48.58289194,2.16446753
59905,"La Pointe",Breux-Jouy,48.55785808,2.14948514
61245,"Collège Vasco",Saint-Pierre-lès-Nemours,48.27941879,2.67429218
61068,Trémainville,Chenou,48.15589002,2.63246334
61098,Thiersanville,Bougligny,48.1841455,2.6758621
61131,"Rue de la Vallée",Poligny,48.21573945,2.71503505
61334,"Roger Genty",Montigny-sur-Loing,48.34063082,2.76738212
61311,Pilliers,Villecerf,48.32674161,2.8683076
479460,Normandie,Lorrez-le-Bocage-Préaux,48.2231896,2.90555502
61304,Mairie,"La Genevraye",48.32088477,2.74673483
61246,"La Demie Lieue",Saint-Pierre-lès-Nemours,48.27873234,2.6832603
61080,Chancepoix,Château-Landon,48.17476894,2.70302738
492261,Gloriette,Forges-les-Bains,48.62817888,2.04964603
74251,"Puits Jolly",Chalautre-la-Grande,48.56231993,3.45328699
62110,"Puits Beau",Saint-Fargeau-Ponthierry,48.5571211,2.52836897
62014,"Place Tilly",Saint-Fargeau-Ponthierry,48.54217117,2.52634942
62201,Guiche,Saint-Fargeau-Ponthierry,48.57040823,2.53079766
61721,"Collège de Perthes",Perthes,48.47246742,2.55595812
61794,Traveteau,"Le Châtelet-en-Brie",48.50380817,2.82435456
62019,Bancel,Melun,48.54131867,2.66127243
61771,République,Chartrettes,48.4900493,2.69725127
61651,"Le Mur Blanc",Héricy,48.4404839,2.79594246
61690,"Hameau de Villiers",Machault,48.45845027,2.83075506
61637,"Gros Saule",Vulaines-sur-Seine,48.43540646,2.76039201
62946,"Place des Fêtes",Auffargis,48.70113106,1.88445761
60198,Montlieu,Émancé,48.60142089,1.7545502
60435,Mairie,Raizeux,48.62393026,1.68271753
59888,Mairie,Ponthévrard,48.55319196,1.91145644
60683,L'Orme,Hermeray,48.6453964,1.68364325
60062,L'Epinaye,Orcemont,48.58320396,1.82267142
63678,Guérinoterie,Gambais,48.77636131,1.68835596
63440,Gambaiseuil,Gambaiseuil,48.75680636,1.7334024
63705,Egremont,Montfort-l'Amaury,48.77895089,1.80216819
64339,"Rue de Bonneville",Boissets,48.85750429,1.58961401
64524,Prétatier,Courgent,48.89035563,1.66201051
64425,"Millerus La Croix",Tilly,48.87419673,1.56377235
64202,Mairie,Gressey,48.83138003,1.60850946
426800,"Pont Barrat",Beynes,48.8610731,1.87369931
64198,"Basse Pissotte",Beynes,48.83030789,1.83931101
63774,"Ergal Centre",Jouars-Pontchartrain,48.78511104,1.9279748
62327,Villegruis,Louan-Villegruis-Fontaine,48.60334571,3.46789698
62561,Villegagnon,Bannost-Villegagnon,48.66502229,3.17573867
62140,"Saint Augustin",Maison-Rouge,48.55794964,3.15226128
61928,Rogenvilliers,Fontains,48.52763255,3.04721215
61722,"Ravin De Rumini",Coutençon,48.47187622,2.99830888
62352,"Plessis La Tour",Beauchery-Saint-Martin,48.61168662,3.40599163
62308,Mortery,Mortery,48.59925835,3.26017157
67410,Mairie,Boisdon,48.68441965,3.22621414
461815,Lunay,Léchelle,48.59160205,3.38091256
61588,"Les Tuileries",Salins,48.41742113,3.0106633
62488,"Les Tournelles",Villiers-Saint-Georges,48.64760548,3.40819793
62335,"Les Guilverts",Saint-Just-en-Brie,48.60937122,3.1254581
62469,"Les Chapelles Hautes",Chenoise-Cucharmoy,48.64237923,3.17169928
62015,Landoy,Maison-Rouge,48.53931875,3.166458
