ID_Line;Document_Name;URL;Type;Name_Line
C00187;Ligne 5333 - Nouveaux Horaires à partir du 1er Septembre 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260625T154352Z-2cb3b038-dbbd-452c-90ee-5f99ab6168bb.pdf;HORAIRE;5333
C00196;Plan de ligne 1314;https://ilico.iledefrance-mobilites.fr/uploads/plans/20240405T160235Z-4f0f3efd-e068-4cb0-8bc3-8f62554bcae6.pdf;PLAN;1314
C00201;Plan de ligne;https://ilico.iledefrance-mobilites.fr/uploads/plans/20250805T124400Z-37b57c5c-ad65-4ac0-8c10-854f1e1f2ce0.pdf;PLAN;2119
C00203;Plan de ligne;https://ilico.iledefrance-mobilites.fr/uploads/plans/20260305T103121Z-1b6e827b-9409-42a4-9eb0-c405c14300ba.pdf;PLAN;2122
C00207;Ligne R8 - Horaires valables à partir du 25 août 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250826T124810Z-87195c9e-1146-4a6a-b567-5f0ac8ba01d5.pdf;HORAIRE;R8 (future 1638)
C00209;Ligne 32 - Horaires valables à partir du 25 août 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250826T123115Z-d3b976ea-dcba-4130-8d4c-87bf48882541.pdf;HORAIRE;32 (future 1632)
C00219;Plan de ligne 48;https://ilico.iledefrance-mobilites.fr/uploads/plans/20240405T161453Z-36c506d0-3eee-44c3-bb35-24dda1f27f8c.pdf;PLAN;1348
C00221;Plan de ligne;https://ilico.iledefrance-mobilites.fr/uploads/plans/20260114T105701Z-f3a8f667-bb06-40a4-8f0b-f3d2b621286c.pdf;PLAN;2127
C00225;Horaires valables à partir du 1er septembre 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250813T141623Z-2baf692d-3a3f-4e14-ae68-60c52023bc52.pdf;HORAIRE;2176
C00228;Ligne R1 - Horaires valables à partir du 25 août 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250826T124416Z-134eb176-2375-40ba-9fbd-56f1802128d9.pdf;HORAIRE;R1 (future 1610)
C00232;Plan de la ligne R5;https://ilico.iledefrance-mobilites.fr/uploads/plans/20241014T125325Z-327f7600-9309-415d-ade6-f48180244310.pdf;PLAN;R5 (future 1615)
C00237;Plan de la ligne R112;https://ilico.iledefrance-mobilites.fr/uploads/plans/20241014T125757Z-ff8e28c1-c606-4f35-aedb-f8011b2cda25.pdf;PLAN;R112 (future 1672)
C00238;Plan de la ligne R113;https://ilico.iledefrance-mobilites.fr/uploads/plans/20241014T125832Z-8b6ffe65-6f21-47f9-9e81-df287feefc28.pdf;PLAN;R113 (future 1673)
C00241;Plan de la ligne R106;https://ilico.iledefrance-mobilites.fr/uploads/plans/20241014T135032Z-4e3239f4-97c6-48c1-b59d-73d8674acd67.pdf;PLAN;R106 (future 1666)
C00242;Plan de la ligne R107;https://ilico.iledefrance-mobilites.fr/uploads/plans/20241014T135110Z-b7b18300-351e-4181-9b04-bf9641f75d47.pdf;PLAN;R107 (future 1667)
C00243;Ligne R108 - Horaires valables à partir du 1er septembre 2025 en période scolaire;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250902T141847Z-ffd06563-acb5-4ca7-a838-fdb9b535b803.pdf;HORAIRE;R108 (future 1668)
C00245;Horaires valables du 25 août 2025 au 05 juillet 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250813T133702Z-e0872f55-3611-4631-9b75-a7ffb498448b.pdf;HORAIRE;2101
C00245;plan de ligne;https://ilico.iledefrance-mobilites.fr/uploads/plans/20260430T135102Z-4d9085fc-6f94-4fb1-8b18-c79a10c03782.pdf;PLAN;2101
C00247;Horaires valables du 06 juillet 2026 au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260703T090419Z-732c67c9-1a93-480c-b830-f5553724f9cf.pdf;HORAIRE;2103
C00247;Horaires valables du 04 mai 2026 au 05 juillet 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260430T134234Z-c1e3b1ac-3a08-410c-8db8-c34a019220ae.pdf;HORAIRE;2103
C00248;Horaires valables du 06 juillet 2026 au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260703T090518Z-0434caa4-5e29-4857-a6ef-e487bb9a8b19.pdf;HORAIRE;2104
C00250;Plan de ligne;https://ilico.iledefrance-mobilites.fr/uploads/plans/20250805T124020Z-79831f58-f05f-4b67-8b36-c74eb6ec8dd1.pdf;PLAN;2107
C00254;Horaires valables du 04 mai 2026 au 05 juillet 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260430T135702Z-8317f0f9-ef20-4d7b-8de5-3bb87bb01758.pdf;HORAIRE;2111
C00262;Ligne 2377 (Ex 777) - A partir du 1er septembre 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20250829T165432Z-dee79619-7a16-4d4b-933b-736beba4a702.pdf;HORAIRE;2377
C00267;Fiche horaires 6531 - 6 juillet au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260622T123751Z-3b199307-e6d2-4cc6-bc37-b413dc3b212e.pdf;HORAIRE;6531
