PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion;ArRGeopoint;ArTGeopoint
;;418916;715210;418914;715187-715210;416760;1328979-715187;50186268;1761937-1328979;48.778914773188646, 2.044709889476319;48.778905671211454, 2.044696446542618
;;64152;880337;42147;901554-880337;22318;1441878-901554;50186568;1761642-1441878;48.824198748621306, 1.944920044837851;48.82418951562051, 1.9448929884937811
;;64322;64322;54673;54673-64322;34408;1302242-54673;50202592;1784531-1302242;48.85947794857826, 2.147424290518674;48.859450485076366, 2.147356587971616
;;63749;63749;42502;42502-63749;42089;1442726-42502;50186427;1761780-1442726;48.78342141587139, 2.0402719446491173;48.78342119724837, 2.040244727179701
;;66819;66819;51452;51452-66819;8855;841526-51452;50203821;1776929-841526;49.04723645560994, 2.125476020095882;49.04723645560994, 2.125476020095882
;;66966;1350683;51435;1350682-1350683;8865;1350684-1350682;50203897;1776851-1350684;49.06276131253191, 2.143578043336642;49.062814868140364, 2.1435224240939568
;;66952;66952;51425;1457682-66952;8867;1457680-1457682;50203827;1776922-1457680;49.05974987291451, 2.1274544119842558;49.059750071621956, 2.1274817747216987
;;66872;870727;51515;870726-870727;8853;886420-870726;50203855;1776893-886420;49.0519551267032, 2.1264088993259236;49.0519551267032, 2.1264088993259236
;;66921;66921;43004;43004-66921;8864;8864-43004;50203899;1776849-8864;49.057624483473944, 2.1457699184736554;49.057624483473944, 2.1457699184736554
;;66888;66888;42262;42262-66888;8852;1326329-42262;50203829;1776920-1326329;49.053410509785834, 2.129941555546569;49.053410509785834, 2.129941555546569
;;66888;66888;42262;42262-66888;9076;1326330-42262;50203828;1776921-1326330;49.053925968963796, 2.1303433585546463;49.053925968963796, 2.1303433585546463
;;66729;870715;51523;870714-870715;8826;870713-870714;50203839;1776909-870713;49.04076033198744, 2.140179575691673;49.04076033198744, 2.140179575691673
;;66764;1349849;58221;1349848-1349849;18767;18767-1349848;50203817;1776933-18767;49.04240370907192, 2.1550755200924225;49.04240370907192, 2.1550755200924225
;;66655;870742;51378;870741-870742;8856;1608054-870741;50203841;1776907-1608054;49.034394476429775, 2.1106346552820106;49.03437578517404, 2.110539240787035
;;66655;870742;51378;870741-870742;8875;1608057-870741;50203842;1776906-1608057;49.03421212104022, 2.1102958706308947;49.0341945439639, 2.11035087720387
;;478739;1454902;488472;1493273-1454902;488471;1493272-1493273;50185827;1657064-1493272;48.81774621836627, 2.316863941448675;48.817755211551216, 2.316863823629287
;;70508;1454920;488468;1493256-1454920;488467;1597405-1493256;50185830;1657061-1597405;48.8140679996886, 2.3169121261711965;48.81405900647417, 2.3169122439739245
;;482493;1495032;486603;1495031-1495032;486602;1495030-1495031;50184197;1594580-1495030;48.816272884413856, 2.287861483563868;48.81630018833939, 2.2879155861785545
;;491992;1597074;486660;1453441-1597074;486659;1454285-1453441;50183976;1594740-1454285;48.80238045424765, 2.280889538590237;48.802362713410105, 2.280930628916802
;;70494;1454882;51549;1454881-1454882;491963;1594495-1454881;50185846;1657054-1594495;48.81343333210905, 2.306652400156448;48.81343333210905, 2.306652400156448
;;66899;66899;51397;51397-66899;9063;1592425-51397;50203283;1777454-1592425;49.05387761562475, 2.026733499953882;49.05390469906625, 2.0267466737198587
;;478355;1156238;478354;1156236-1156238;478353;1570003-1156236;50203122;1777616-1570003;48.951152253659906, 2.073006360778351;48.95128744750512, 2.073044914667802
;;66396;66396;48903;48903-66396;5162;1570629-48903;50203523;1777222-1570629;49.01140203435542, 2.1291825376544136;49.01141952126875, 2.129113892951486
;;66426;66426;48904;48904-66426;5164;1250639-48904;50204219;1698330-1250639;49.01408295984979, 2.1268682002883357;49.014073769645414, 2.126841012772392
;;66442;66442;42408;42408-66442;34858;1274879-42408;50203184;1777555-1274879;49.01489420847927, 2.1258975762941676;49.014911494363645, 2.1258015867613897
;;65118;65118;54508;54508-65118;34991;1569816-54508;50203124;1777614-1569816;48.95151838847447, 2.062267256061091;48.95146465128708, 2.0622955344221037
;;65284;65284;54523;54523-65284;35103;1570093-54523;50203158;1777581-1570093;48.96264760689908, 2.058297023321547;48.9626831447057, 2.058241749108838
;;65324;65324;54516;54516-65324;35013;1570063-54516;50203147;1777592-1570063;48.9650274549541, 2.074042829982856;48.96496430218572, 2.0740166383853267
;;66844;66844;51399;51399-66844;9001;9001-51399;50203736;1777015-9001;49.04958358185165, 2.089197095588704;49.04958358185165, 2.089197095588704
;;65624;65624;54506;54506-65624;34863;1569810-54506;50203120;1777618-1569810;48.97928020152325, 2.082109034891244;48.979190285655, 2.0821106228637873
;;66204;66204;52088;52088-66204;9903;1617385-52088;50204522;1698032-1617385;49.00229729216242, 2.2326364576424007;49.00229755430617, 2.2326774569246317
;;62233;62233;52137;52137-62233;461824;968218-52137;50194045;1722817-968218;48.58143324135775, 3.24578006676396;48.58143329735264, 3.245752952363877
;;62043;62043;51916;51916-62043;9774;1616967-51916;50193813;1723042-1616967;48.54320291418189, 3.293152437397722;48.54318509005411, 3.293084600395173
;;63559;63559;57814;57814-63559;23905;1308857-57814;50186701;1761520-1308857;48.76843762183531, 1.9955494925853043;48.768428399838015, 1.995522456195204
;;63559;63559;57814;57814-63559;20779;1308853-57814;50186702;1761519-1308853;48.7683418218122, 1.9969936683994094;48.768332600140994, 1.9969666318037833
;;63893;1094482;47935;1094481-1094482;472346;1079900-1094481;50116463;1639501-1079900;48.79605266580259, 1.6027532099508017;48.79605266580259, 1.6027532099508017
;;63893;1094482;473368;1094469-1094482;35605;1378208-1094469;50200323;1511759-1378208;48.79548002350242, 1.6030136191170972;48.79580231391386, 1.602882451858522
;;63893;1094482;473368;1094469-1094482;35730;1378205-1094469;50200325;1662562-1378205;48.79585149330777, 1.6024726812110406;48.795823720588, 1.6024053497487376
;;59913;59913;48356;48356-59913;3434;1469605-48356;50192301;1628927-1469605;48.56076190568367, 2.183888918687613;48.56075272473939, 2.1838619563647206
;;59883;1349369;48353;1349370-1349369;3428;1349363-1349370;50192655;1481765-1349363;48.553901584032694, 2.1791851674932725;48.55389240197153, 2.1791582095228192
;;60231;60231;53309;53309-60231;415444;1469672-53309;50189219;1485959-1469672;48.60548987131248, 2.246807776223298;48.60548070496553, 2.2467807798497144
;;59908;59908;48314;48314-59908;3332;1468975-48314;50192898;1639795-1468975;48.55826891641018, 2.1304107037656466;48.55825972332854, 2.1303837520982785
;;420729;740183;45865;740216-740183;12635;1253935-740216;50205428;1740896-1253935;48.654590517181695, 2.4103519886156732;48.65455494201269, 2.410433849143932
;;73681;740201;45866;45866-740201;8479;1433638-45866;50181286;1771737-1433638;48.65073581193842, 2.4148482286778927;48.65072668405519, 2.414821179580278
;;73681;740201;45866;45866-740201;41411;1325026-45866;50205304;1740985-1325026;48.650755533597916, 2.415200973722939;48.65074613930886, 2.4151196251398623
;;60832;60832;52366;52366-60832;4046;4046-52366;50205248;1741035-4046;48.65917433034183, 2.4078020051895836;48.65917426288338, 2.4077884281584847
;;63084;1351028;48303;1351029-1351028;3310;1469438-1351029;50176281;1824385-1469438;48.71009414719109, 2.256757561685726;48.710085237882794, 2.25677127964524
;;60800;1327031;47868;1327030-1327031;10470;1327032-1327030;50192890;1481307-1327032;48.65538557874637, 2.343897911287002;48.655376434798455, 2.343870872175507
;;60816;60816;48225;48225-60816;3631;1469429-48225;50192427;1640023-1469429;48.65759964776026, 2.2907277600681573;48.657590572564445, 2.290714305566358
;;60323;60323;48204;48204-60323;3129;1379531-48204;50192638;1639919-1379531;48.615653296287334, 2.268205524419897;48.61564421823309, 2.2681920846021932
;;483629;1376469;483627;1376432-1376469;483626;1376431-1376432;50192361;1486126-1376431;48.638188168895304, 2.3029482326589066;48.63817901552708, 2.302921209591687
;;483624;1376400;483623;1376399-1376400;483622;1379110-1376399;50189260;1640226-1379110;48.645191312394424, 2.30377799187447;48.64518215926776, 2.3037509650454044
;;60052;1085715;415484;1085709-1085715;41319;1085734-1085709;50024829;413261-1085734;48.58272016851524, 2.223445511011912;48.58242944414759, 2.2222980665061414
;;60052;1085715;415484;1085709-1085715;472581;1080857-1085709;50118761;1295411-1080857;48.582751672729984, 2.223448433595391;48.58274267784461, 2.2234485669246764
;;60042;60042;48152;48152-60042;2977;1468864-48152;50192923;1481237-1468864;48.58020180875801, 2.2242047807241754;48.58019263709703, 2.224177801336368
;;60015;60015;48121;48121-60015;2923;1469327-48121;50192519;1482043-1469327;48.576269860578286, 2.154120918485871;48.576260673002984, 2.154093953400776
;;59992;59992;48478;48478-59992;3698;1469282-48478;50192580;1481917-1469282;48.57210944732897, 2.1701159287546554;48.57210026334741, 2.1700889630065907
;;60012;1434165;477899;1151894-1434165;477898;1434157-1151894;50192653;1639909-1434157;48.574537217331255, 2.16995547100861;48.5745281278904, 2.1699420587694456
;;59898;59898;48115;48115-59898;2911;1438087-48115;50189466;1640122-1438087;48.556386966146185, 2.2114665548932373;48.55637779142063, 2.2114395899921413
;;59907;59907;48112;48112-59907;2908;1438077-48112;50192304;1640085-1438077;48.558815893971754, 2.2087602508132544;48.558806718650665, 2.208733285136334
