zdc_a,zdb_b,duree_mediane_secondes,nb_observations
66754,66784,445,4
73009,463433,485,2
67025,425923,336,4
61638,61640,261,8
70502,70566,477,2
70222,70234,346,32
65818,65855,324,8
66795,426369,393,12
60366,60428,400,2
70742,70748,436,8
65025,65063,420,68
64139,64152,472,18
72185,72187,480,4
73623,412436,376,16
65173,65187,471,2
71313,71330,419,20
73206,73214,470,8
71095,71113,455,8
73552,73554,398,12
70491,70525,463,22
60574,74066,447,4
70849,70861,443,6
71146,71169,425,114
71346,73690,448,32
70570,478742,400,10
71269,73632,470,8
72641,72653,399,76
65711,65761,479,10
62806,415545,362,8
63935,63964,401,24
69829,422453,427,8
65476,425775,293,8
72539,72550,420,16
70469,70562,486,2
70272,70286,355,8
59700,59704,481,6
59527,59538,466,4
72545,72558,398,28
65439,65455,460,8
70351,70373,488,2
71765,71770,489,2
70076,70094,487,8
70928,70936,392,12
72319,72323,414,24
71260,71263,429,8
71541,482830,475,2
60471,483783,356,16
71858,71867,449,6
63696,63711,498,4
70623,70625,357,6
70246,480557,485,8
64008,73734,422,8
65391,65392,255,4
68201,68210,490,2
70149,477254,472,26
63205,73920,448,16
73689,420240,384,14
63944,63970,403,8
59706,59707,446,8
66619,479062,467,6
70671,70999,465,62
69759,420255,484,16
67438,486124,438,8
71948,73286,402,6
70731,70735,383,8
63799,63813,449,16
64473,64477,371,2
71432,73849,411,24
65911,65947,374,12
71033,480002,456,14
66413,496897,466,8
73210,73214,396,6
60946,60965,331,8
63862,63875,413,18
71114,495913,359,8
74003,480881,344,6
60078,60080,459,10
64074,64087,382,12
71286,479998,449,12
491319,491320,473,2
71079,71098,462,14
71045,71055,428,14
66871,66899,464,8
65805,486683,447,2
71256,73622,477,16
72074,72092,410,14
72144,495474,427,4
420463,424078,480,10
424396,483412,433,14
70833,70850,481,6
65455,65498,487,4
71654,71672,478,12
71891,71910,439,4
73648,73850,474,6
72532,73695,456,16
63506,63519,491,4
64977,65006,438,16
71484,73672,315,4
72122,72123,467,20
67521,72816,491,2
60817,60834,458,8
70296,70302,358,12
69693,69710,344,6
415682,491696,285,8
71858,71869,443,4
64250,480590,404,6
424926,482830,481,4
71851,412665,428,8
64160,64170,453,8
72410,72415,396,4
63254,63259,458,22
66315,66345,325,12
71200,482826,387,4
71651,73851,386,4
69701,69722,444,4
68963,417679,426,36
71548,479934,315,8
71577,71597,464,20
71149,71150,447,22
69867,74062,443,8
71139,415816,433,42
71132,71137,311,30
71699,71713,417,20
73309,495865,386,8
61820,61832,494,8
72883,72884,452,16
73436,73438,385,16
66033,66091,426,6
71287,479068,460,12
73052,73053,396,8
71156,71177,415,28
63999,64013,490,8
412439,423191,424,10
73498,73499,398,8
62381,62385,416,16
69818,69846,474,14
60665,483576,427,34
71884,491793,487,2
71681,71703,383,22
61873,61876,460,6
68963,492927,235,36
71410,71434,540,22
62067,481659,363,16
72407,72413,497,6
63476,418836,473,4
66681,66685,361,8
69826,69834,483,4
70605,70625,423,22
61579,473253,461,44
70586,70590,380,12
73848,73849,334,32
71475,71486,452,10
61579,479901,265,22
73283,73287,459,8
72134,72139,423,26
63514,63543,423,4
65848,65872,334,24
63651,63665,441,8
60727,60728,401,4
65050,65066,413,16
71301,71312,480,14
60200,60223,387,8
67819,463400,421,8
65654,65694,480,8
71033,412738,438,26
69535,69538,344,8
71469,73672,397,8
65537,65546,423,8
63479,63505,356,8
67389,491770,423,4
61093,61094,394,8
70558,70600,439,4
62929,74164,499,4
70129,70170,402,4
65892,65982,494,2
71756,491696,412,12
70122,415687,417,2
71633,463520,324,8
71340,71359,458,34
71263,71285,467,14
63672,412739,414,8
71766,491706,478,8
65591,65660,495,6
69762,480875,439,8
71709,71723,430,2
73280,73283,431,32
70452,70491,443,28
64952,64959,451,8
71509,71513,464,8
71309,474152,446,16
71190,73619,409,30
63185,63190,424,2
73428,73429,488,4
64729,64752,445,8
71458,71483,392,10
68266,490755,324,20
66212,66239,449,4
73110,73120,493,4
70899,73712,466,22
71231,73622,472,22
65697,423056,466,8
64242,64247,468,4
66868,66884,435,2
70036,70082,342,32
412689,483874,316,8
63111,63139,388,6
72712,426509,473,8
72308,72323,379,20
72061,462511,307,12
71464,482833,451,8
72794,72795,427,8
60552,60556,395,2
69774,69791,458,4
71889,71903,450,54
66375,492305,332,4
64659,64673,438,8
70616,74217,452,2
67828,67846,455,4
62002,62017,419,8
427893,485302,450,8
70286,70317,412,8
60929,60941,400,10
69539,70679,338,12
69723,69738,406,16
72935,425816,270,8
68011,68030,455,8
72075,72083,321,8
63918,63922,339,8
73573,73575,408,12
61043,485918,273,4
71534,74003,403,4
71370,73688,420,44
70999,492984,331,12
62893,62901,375,4
66912,66923,492,4
72134,485815,462,18
61482,425901,433,14
423702,483450,389,12
71065,74019,485,6
71103,71128,457,14
61948,427291,495,4
71333,71338,426,10
71202,71216,438,54
66368,496897,358,8
69996,69998,446,16
63949,63965,379,6
65980,66017,449,8
70939,70949,437,10
71812,71814,335,12
70933,70940,348,78
68034,68044,497,2
71407,71961,444,26
62060,481464,328,4
71528,74003,477,24
62711,62740,406,8
60228,60231,425,8
64108,64112,276,4
71056,73653,447,37
71396,71417,405,4
72640,72643,401,8
71412,482888,386,24
68204,73905,413,16
64976,65016,434,18
70874,483261,344,8
69460,70012,411,16
71469,71484,441,12
64633,64649,440,6
73619,480748,442,8
73511,73516,485,6
72112,72116,436,6
64497,64500,327,10
62409,62410,367,8
72674,72684,406,16
70627,70633,338,12
71675,71691,472,4
72155,72157,461,2
70488,483412,421,32
63516,486939,476,8
70866,70875,454,8
71284,73788,408,16
72382,480001,344,24
69513,69517,359,6
68136,68153,491,14
72207,72211,415,34
420718,481091,297,12
73190,73191,423,44
60290,422636,863,4
71274,71306,481,26
70281,479895,423,14
70181,415687,481,2
67823,67831,424,14
59876,477007,368,8
73141,73147,475,6
66352,66392,453,2
70895,481099,368,24
61711,61718,487,6
65646,421852,364,4
69656,69661,382,16
70818,70825,428,2
480637,495203,379,8
71454,71485,398,14
71202,71203,467,52
63578,63601,424,16
64671,64687,463,2
60669,418987,472,8
71084,73659,447,6
73554,73563,482,6
71289,415681,475,16
61982,480644,313,4
73063,73068,457,8
60309,60330,398,64
72344,415673,411,22
71124,71146,477,8
62751,62774,440,8
72360,424836,449,4
71957,482876,411,16
68261,462420,452,8
68925,68935,372,16
71512,71524,403,8
66220,66236,381,4
69880,69890,446,8
71874,71900,421,30
69482,69488,488,6
483391,484414,397,4
61385,61393,487,8
71870,71895,487,2
70215,70223,483,4
71031,415684,475,8
68208,68218,485,4
71593,71599,451,14
65055,65058,389,8
66577,66603,466,8
70485,70497,456,2
64080,64091,414,26
60880,60881,462,6
66299,66304,426,8
62075,62076,450,16
70447,70495,439,4
67420,67434,415,8
61857,61867,393,8
62062,62076,283,8
63090,485858,461,4
71012,71035,419,6
71171,71178,369,22
72941,425787,485,4
62896,62927,442,10
412568,412677,415,10
68916,68925,488,2
482792,482793,396,2
72628,73975,461,8
60723,60724,470,8
71803,73665,409,28
62945,62993,478,2
71223,73620,491,38
71464,474351,439,18
69636,69637,414,28
71264,415852,390,196
73882,483401,490,4
420240,478926,415,8
60551,60563,298,12
71522,71537,394,8
