ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75015;Sanisette;En service;167 rue de lourmel;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.282565000035356, 48.839090999926285], ""type"": ""Point""}";48.839090999926285, 2.282565000035356;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;29 av mathurin moreau;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3739559999400193, 48.878431999995215], ""type"": ""Point""}";48.878431999995215, 2.3739559999400193;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Sanisette;En service;2 pl de la porte de bagnolet;24/24h;Oui;Non;;"{""coordinates"": [2.4091379994704725, 48.86414400014382], ""type"": ""Point""}";48.86414400014382, 2.4091379994704725;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;6 rue desnouettes;24/24h;Oui;Non;;"{""coordinates"": [2.293395000594456, 48.835999999580864], ""type"": ""Point""}";48.835999999580864, 2.293395000594456;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;WC;En service;23 rue du fer a moulin;Horaires du parc;Non;Non;;"{""coordinates"": [2.353943110508907, 48.838735231144916], ""type"": ""Point""}";48.838735231144916, 2.353943110508907;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;WC;Hors service;11 avenue de la porte des lilas;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-serge-gainsbourg-6337;"{""coordinates"": [2.408116526446009, 48.878344636450926], ""type"": ""Point""}";48.878344636450926, 2.408116526446009;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75003;Sanisette;En service;25 rue pastourelle;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.359337999553333, 48.86275600006959], ""type"": ""Point""}";48.86275600006959, 2.359337999553333;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75004;WC;En service;1 rue saint martin;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-de-la-tour-saint-jacques-33;"{""coordinates"": [2.349321267856243, 48.8577865433105], ""type"": ""Point""}";48.8577865433105, 2.349321267856243;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;2 v av daumesnil;24/24h;Oui;Non;;"{""coordinates"": [2.37115100002481, 48.84924999991015], ""type"": ""Point""}";48.84924999991015, 2.37115100002481;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;100 bd auguste blanqui;24/24h;Oui;Non;;"{""coordinates"": [2.344515000507623, 48.83113100037872], ""type"": ""Point""}";48.83113100037872, 2.344515000507623;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
