accId,zdc,label,numero,lat,lon,estEntree,estSortie
50170414,411376,"Entrée / Sortie",,49.135596458144924,3.076019997103482,true,true
50148168,71224,"av. Duquesne",2,48.85461295465589,2.3061862205360826,true,true
50148167,71224,"av. de La Motte-Picquet",3,48.855127523592046,2.3065200935328365,false,true
50148169,71224,"av. Bosquet",1,48.85469215175617,2.3058853305962397,true,true
50148695,70522,"École Nationale Vétérinaire",2,48.814729795391585,2.42192814173524,true,true
50148694,70522,"av. Général Leclerc",3,48.81456135759202,2.4224338834787478,false,true
50148693,70522,"Carrefour de la Résistance",1,48.81492889875611,2.4221846828245606,true,true
50148029,71197,"r. Desaix",2,48.850623592178415,2.293006717413654,true,true
50148028,71197,"r. Viala",1,48.85054225348263,2.292939681893601,true,true
50148365,71159,"bd des Invalides",1,48.84701701789198,2.3161940814219744,true,true
50148362,71159,"pl. Léon-Paul Fargue",3,48.846841828874325,2.3170139888837786,true,true
50148364,71159,"bd du Montparnasse",4,48.846623508064624,2.3165807939763132,true,true
50148363,71159,"r. de Sèvres",2,48.84704742195276,2.316793264578062,true,true
50148044,71606,"bd de Reuilly",1,48.839094149005845,2.3894355990816387,true,true
50148057,71930,"pl. Rhin-et-Danube",1,48.882030702338675,2.393336609072237,true,true
50148898,71545,"r. de la Jonquière",8,48.89447996933586,2.317002838869153,true,true
50148897,71545,"av. de Clichy",7,48.89396251554581,2.314581859094676,true,true
50148515,71545,"av. de la Porte de Clichy",3,48.894812591369416,2.313834141747632,true,true
50148514,71545,"bd Bessières",2,48.8943825110858,2.3141125950940054,true,true
50148894,71545,"av. du Cimetière des Batignolles",4,48.894639544086566,2.3134545212751014,true,true
50148896,71545,"r. André Suarès",6,48.894266781232574,2.3127501968248083,true,true
50148895,71545,"Tribunal de Paris",5,48.89500595617385,2.3114856124161247,true,true
50148516,71545,"bd Berthier",1,48.894136117040766,2.3134884381433856,true,true
50148079,72430,"r. du Chemin de Fer",3,48.898526433631254,2.386706190359798,true,true
50148076,72430,"bd Macdonald",2,48.89733118594257,2.38687030996401,false,true
50148075,72430,"av. Corentin Cariou",1,48.89732601446156,2.3858610162981466,true,true
50148078,72430,"av. de la Pte de la Villette",4,48.898649255228335,2.3861045714201765,true,true
50148077,72430,"Parvis de la Cité",5,48.89664075727768,2.3855144664110637,true,true
50148860,72064,"r. Raymond Queneau",3,48.896683526791215,2.359352868758411,true,true
50148467,72064,"bd Ney",1,48.89806568347812,2.358831174204408,true,true
50148466,72064,"r.de la Chapelle",2,48.89758242020151,2.3592736069963385,true,true
50148859,72064,"rd-pt de la Chapelle",4,48.896672198649945,2.358916534791079,true,true
50148511,72285,"Centre Ville",3,48.930155670474505,2.356006259814204,true,true
50148510,72285,"r. Danielle Casanova",2,48.92995199958164,2.3565956673020323,true,true
50148509,72285,"La Plaine",1,48.9291614820193,2.356755574794523,true,true
50148129,70596,"bd Masséna",2,48.81923366850312,2.359746084832889,true,true
50148131,70596,"sq. Hélène Boucher",1,48.818722148824925,2.3599566566887265,true,true
50148130,70596,"av. d'Italie",3,48.81939233628429,2.3591448751895947,true,true
50148133,70596,"r. Fernand Widal",4,48.81877938695903,2.360568827794866,true,true
50148132,70596,"Entrée / Sortie",0,48.818804326824036,2.360187178149155,true,true
50148439,73641,"pl. Camille-Claudel",1,48.84453436974097,2.3176982864299713,true,true
50148164,71137,"r. des Frères Morane",1,48.84261295564821,2.2919435704421667,true,true
50148163,71137,"av. Félix Faure",3,48.842673082944785,2.29146585197112,true,true
50148162,71137,"pl. Étienne Pernet",2,48.84282798017745,2.291804391172845,true,true
50148200,74001,"r. Faidherbe",1,48.85030820042753,2.3839894353917512,true,true
50148199,74001,"r. Chaligny",2,48.84996709825653,2.3841161154446753,true,true
50148198,74001,"r. du Fbg St-Antoine",3,48.85036391676519,2.3825851300019782,true,true
50147866,73617,"Rue de Madrid",1,48.87886377729823,2.32266171126305,true,true
50148256,71124,"r. Claude Lorrain",3,48.8418477162964,2.2591435949663823,true,true
50148255,71124,"r. Michel-Ange",2,48.843020845316076,2.2597809620339544,true,true
50148254,71124,"bd Exelmans",1,48.842833848232054,2.2600833866844177,true,true
50148776,71485,"quai Paul Doumer",4,48.88813045886863,2.250793424108825,true,true
50147943,71485,Puteaux,2,48.88796707884983,2.24911834042509,true,true
50147942,71485,Courbevoie,1,48.88846363529348,2.2494248493525597,true,true
50147944,71485,"quai De Dion-Bouton",3,48.88759750875308,2.2504192400924334,true,true
50147753,72024,"av. Jean Lolive",1,48.893362681427114,2.413294618960341,true,true
50148775,72024,"Gare Routière",2,48.893650312904704,2.4132640998585724,false,true
50147752,72024,"r. Jules Auffret",4,48.89258766136732,2.4111348067128144,true,true
50148774,72024,"r. Charles Auray",3,48.89317430321588,2.413392213351113,true,true
50147751,72024,"r. Delizy",5,48.89283751044847,2.4107364580737283,true,true
50148377,71166,"pl. Théodore Rivière",1,48.84722038346117,2.268469840487776,true,true
