route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
24,479994,481111,Baron Le Roy (rue),Terroirs de France,120,873
24,71112,71130,Feuillantines / Ecole Normale Supérieure,Saint-Jacques - Gay-Lussac,60,422
24,71152,71161,Panthéon,Luxembourg,120,422
24,71076,71082,Les Gobelins,Monge - Claude Bernard,60,422
24,479994,71589,Baron Le Roy (rue),Dijon - Lachambeaudie / Cour Saint-Émilion,60,873
24,71105,71115,Buffon - La Mosquée,Buffon - Jardin des Plantes,60,451
24,71098,71112,Berthollet - Vauquelin,Feuillantines / Ecole Normale Supérieure,60,873
24,71082,71100,Monge - Claude Bernard,Censier - Daubenton,60,451
24,70631,73900,Pont Nelson Mandela,Port aux Lions,60,831
25,70659,71565,Bruneseau,Watt,180,995
25,421404,70524,Vaillant-Couturier - Lénine,Gambetta,180,971
25,463621,70417,Duras / Port à l'Anglais - Jules Guesde,Rue de la Baignade,240,484
25,70417,70472,Rue de la Baignade,Maurice Gunsbourg,180,484
25,70642,70659,Victor Hugo - Bretagne,Bruneseau,120,995
25,71572,71573,Bibliothèque François Mitterrand,Pont de Tolbiac,60,939
25,70472,70524,Maurice Gunsbourg,Gambetta,120,484
25,70601,70642,Jules Vanzuppe,Victor Hugo - Bretagne,60,988
25,482603,70601,Vaillant-Couturier - Westermeyer,Jules Vanzuppe,60,274
25,71565,71571,Watt,Thomas Mann,60,995
25,71571,71573,Thomas Mann,Pont de Tolbiac,60,903
25,421404,482603,Vaillant-Couturier - Lénine,Vaillant-Couturier - Westermeyer,60,492
26,480615,71352,Lafayette - Magenta / Place Franz Liszt,Paradis / Square Montholon,120,448
26,71656,71673,Marsoulan,Nation,120,931
26,71355,71370,Trinité - d'Estienne d'Orves,Gare Saint-Lazare,180,914
26,474149,71410,Château Landon,Gare du Nord,120,463
26,71350,71355,Notre-Dame-de-Lorette,Trinité - d'Estienne d'Orves,120,914
26,71407,71940,Louis Blanc,Jaurès,120,931
26,71732,71760,Orteaux - Maraichers,Eglise St-Germain de Charonne / Pyrénées-Bagnolet,120,931
26,71864,71874,Pyrénées,Botzaris - Buttes Chaumont,120,931
26,71350,71351,Notre-Dame-de-Lorette,Cadet,60,448
26,71703,71732,Maraîchers,Orteaux - Maraichers,120,926
26,71779,71808,Ramus,Gambetta,60,901
26,71661,71681,Cours de Vincennes / Pyrénées - Docteur Netter,La Plaine,60,926
26,71388,71410,Magenta - Maubeuge - Gare du Nord,Gare du Nord,120,466
26,71850,71868,L'Ermitage,Jourdain,60,924
26,71874,71878,Botzaris - Buttes Chaumont,Atlas,60,931
26,71816,71838,Villiers de l'Isle-Adam,Pyrénées - Ménilmontant,120,931
26,71353,71369,Châteaudun - Lamartine,Maubeuge - Rochechouart,60,437
26,71864,71868,Pyrénées,Jourdain,60,892
26,480615,71410,Lafayette - Magenta / Place Franz Liszt,Gare du Nord,120,448
26,71760,71779,Eglise St-Germain de Charonne / Pyrénées-Bagnolet,Ramus,60,903
26,71351,71352,Cadet,Paradis / Square Montholon,120,448
26,71375,71388,Condorcet,Magenta - Maubeuge - Gare du Nord,60,460
26,474149,71407,Château Landon,Louis Blanc,60,463
26,71808,71816,Gambetta,Villiers de l'Isle-Adam,120,931
26,71920,71940,Bolivar,Jaurès,120,918
26,71878,71899,Atlas,Mathurin Moreau - Simon Bolivar,120,931
26,71838,71850,Pyrénées - Ménilmontant,L'Ermitage,60,931
26,71350,71353,Notre-Dame-de-Lorette,Châteaudun - Lamartine,60,460
26,71656,71661,Marsoulan,Cours de Vincennes / Pyrénées - Docteur Netter,120,925
26,71681,71703,La Plaine,Maraîchers,60,671
26,71899,71920,Mathurin Moreau - Simon Bolivar,Bolivar,60,920
26,71369,71375,Maubeuge - Rochechouart,Condorcet,120,466
27,71247,71297,Pont du Carrousel - Quai Voltaire,Palais Royal - Musée du Louvre,180,653
27,71297,73788,Palais Royal - Musée du Louvre,Pyramides,60,1281
27,73620,74042,Saint-Michel Notre-Dame,Pont Neuf - Quai des Grands Augustins,120,670
27,412436,70636,Masséna - Darmesteter,Porte d'Ivry,120,670
27,71228,73620,Pont Neuf - Quai des Orfèvres,Saint-Michel Notre-Dame,120,655
27,480747,73620,Les Ecoles,Saint-Michel Notre-Dame,120,1325
27,480747,71161,Les Ecoles,Luxembourg,180,1325
27,71082,71098,Monge - Claude Bernard,Berthollet - Vauquelin,120,1325
27,70677,73623,Oudiné,Maryse Bastié,60,1343
27,479957,73623,Claude Regaud / Château des Rentiers,Maryse Bastié,120,689
27,71239,71247,Pont des Arts - Quai de Conti,Pont du Carrousel - Quai Voltaire,120,653
27,482706,71033,Banquier,Place d'Italie,60,1274
27,482792,71337,Petits Champs - Danielle Casanova,Opéra,60,653
27,71248,71253,Pont des Arts,Pont Neuf,60,553
27,71248,71257,Pont des Arts,Quai François Mitterrand,120,638
27,71257,71297,Quai François Mitterrand,Palais Royal - Musée du Louvre,180,638
27,71028,71043,Clisson,Nationale,120,1359
27,482706,71076,Banquier,Les Gobelins,120,1325
27,71130,71161,Saint-Jacques - Gay-Lussac,Luxembourg,120,1325
27,71028,71567,Clisson,Jeanne d'Arc - Église de la Gare,120,1359
27,71228,71253,Pont Neuf - Quai des Orfèvres,Pont Neuf,60,638
27,482368,71370,Havre - Caumartin,Gare Saint-Lazare,120,1291
27,71112,71130,Feuillantines / Ecole Normale Supérieure,Saint-Jacques - Gay-Lussac,60,1325
27,71031,71033,Les Alpes,Place d'Italie,60,1083
27,71076,71082,Les Gobelins,Monge - Claude Bernard,60,1325
27,71239,74042,Pont des Arts - Quai de Conti,Pont Neuf - Quai des Grands Augustins,60,599
27,71031,71043,Les Alpes,Nationale,60,1347
27,479957,70636,Claude Regaud / Château des Rentiers,Porte d'Ivry,60,689
27,478926,71337,Auber,Opéra,60,1133
27,71098,71112,Berthollet - Vauquelin,Feuillantines / Ecole Normale Supérieure,60,1219
27,70677,71561,Oudiné,Patay - Tolbiac,60,1215
27,71561,71567,Patay - Tolbiac,Jeanne d'Arc - Église de la Gare,60,1324
27,482792,73788,Petits Champs - Danielle Casanova,Pyramides,120,612
27,478926,482368,Auber,Havre - Caumartin,60,1262
27,412436,73623,Masséna - Darmesteter,Maryse Bastié,60,537
28,71139,73641,Gare Montparnasse,Falguière,120,606
28,482697,71408,Legendre (rue de Rome),Rome,120,606
28,71289,71318,Palais de la Découverte,Franklin D. Roosevelt,60,595
28,71370,73690,Gare Saint-Lazare,Saint-Augustin,120,606
28,412694,71194,Breteuil,Breteuil / El Salvador,120,606
28,71318,71334,Franklin D. Roosevelt,Saint-Philippe-du-Roule,120,303
28,71408,73617,Rome,Europe,120,606
28,477228,71545,Berthier - Rostropovitch,Porte de Clichy,180,606
