Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Résidence du Château;48.5353273,2.6749872;48.53528474143986, 2.6749516829729214;30625;30625;50191489;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6749872, 48.5353273]}";no;STIF 2019-01;Résidence du Château;5;;;;yes;;516;FONTAINEBLEAU - MORET;Vaux-le-Pénil;77487;-
Jean Mermoz - Henri Barbusse;48.9316004,2.3985305;48.931699143014825, 2.3986401247546687;426617;426617;50233158;249;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.3985305, 48.9316004]}";no;STIF 2019-01;Jean Mermoz - Henri Barbusse;3;;;;;;544;TRANSDEV OURCQ;La Courneuve;93027;-
San Benedetto;48.7869616,2.4255063;48.7869562836154, 2.4255841644334932;27496;27496;50235082;103;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.4255063, 48.7869616]}";no;STIF 2019-01;San Benedetto;3;yes;;;yes;;546;POMPADOUR;Alfortville;94002;-
Place de Verdun;48.8053099,2.5852003;48.80525364497669, 2.585149351927715;36370;36370;50125546;206;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5852003, 48.8053099]}";yes;STIF 2019-01;Place de Verdun;4;;;;yes;;59;RATP;Le Plessis-Trévise;94059;-
Place de Verdun;48.8053099,2.5852003;48.80525364497669, 2.585149351927715;36370;36370;50219502;206;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5852003, 48.8053099]}";yes;STIF 2019-01;Place de Verdun;4;;;;yes;;509;MARNE ET BRIE;Le Plessis-Trévise;94059;-
Docteur Roux;48.5424591,2.6703631;48.54236075161248, 2.670369477792466;31122;31122;50169356;E;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6703631, 48.5424591]}";no;STIF 2019-01;Docteur Roux;5;;;;yes;;518;GRAND MELUN;Melun;77288;-
Creutzer - Dantzig;48.810705,2.6012105;48.81067806671757, 2.601364940834453;16616;16616;50222840;D;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6012105, 48.810705]}";no;STIF 2019-01;Creutzer - Dantzig;5;;;;;;599;GC MARNE ET BRIE;Pontault-Combault;77373;-
Four à Chaux;49.1537019,1.9421959;49.153719013660094, 1.9421148512445667;29652;29652;50165396;;0.01;10;"{""type"": ""Point"", ""coordinates"": [1.9421959, 49.1537019]}";;;Four à Chaux;5;;;;;;501;VEXIN;Chars;95142;-
Place du 16 Août 1943;48.9523452,2.4166838;48.95229193953001, 2.416712431048985;28447;28447;50233163;"249;133";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.4166838, 48.9523452]}";no;STIF 2019-01;Place du 16 Août 1943;3;;;;;;544;TRANSDEV OURCQ;Dugny;93030;-
Gare de Garancières - La Queue;48.8106436,1.7645576;48.810626254381695, 1.7646435636194564;35647;35647;50200318;"2;22";0.01;10;"{""type"": ""Point"", ""coordinates"": [1.7645576, 48.8106436]}";;;Gare de Garancières - La Queue;;separate;yes;;yes;;530;CENTRE ET SUD YVELINES;Garancières;78265;-
Villette;49.0316845,1.9355204;49.03165613633008, 1.9354255430732314;32883;32883;50165427;"80;95-25";0.01;10;"{""type"": ""Point"", ""coordinates"": [1.9355204, 49.0316845]}";;;Villette;5;yes;;;yes;;501;VEXIN;Condécourt;95170;-
Les Fontaines;48.7057716,2.7518335;48.70573762631078, 2.751664893158644;16491;16491;50187691;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.7518335, 48.7057716]}";;;Les Fontaines;;;;;yes;;513;PAYS BRIARD;Presles-en-Brie;77377;-
