route_label,station_id,zdc_id,db_label,gtfs_label
B,380,70543,Gentilly,Gentilly
B,375,70623,Cité Universitaire,Cité Universitaire
B,382,72598,La Courneuve - Aubervilliers,La Courneuve - Aubervilliers
B,396,62892,Orsay - Ville,Orsay Ville
B,386,70427,Laplace,Laplace
B,397,63175,Palaiseau,Palaiseau
B,377,72652,Drancy,Drancy
B,392,71161,Luxembourg,Luxembourg
B,400,73568,Parc des Expositions,Parc des Expositions
B,76,71410,Gare du Nord,Gare du Nord
B,370,73596,Aéroport CDG 1 (Terminal 3) - RER,Aéroport CDG 1 (Terminal 3)
B,371,73699,Aéroport Charles de Gaulle 2 (Terminal 2),Aéroport CDG - Terminal 2 (TGV)
D,515,61976,Ponthierry - Pringy,Ponthierry - Pringy
D,482,59565,Boutigny,Boutigny
D,502,73624,Le Vert de Maisons,Le Vert de Maisons
D,511,60084,Moulin Galant,Moulin Galant
D,484,59447,Buno - Gironville,Buno - Gironville
D,526,60981,Viry-Châtillon,Viry-Châtillon
D,506,73625,Maisons-Alfort - Alfortville,Maisons-Alfort - Alfortville
D,486,411429,Chantilly - Gouvieux,Chantilly - Gouvieux
D,481,62596,Boussy-Saint-Antoine,Boussy-Saint-Antoine
D,516,60839,Ris-Orangis,Ris-Orangis
D,512,60542,Orangis Bois de l'Épine,Orangis Bois de l'Épine
D,494,73627,Grand Bourg,Grand Bourg
D,521,63071,Vigneux-sur-Seine,Vigneux-sur-Seine
D,19,73626,Gare de Lyon,Gare de Lyon
D,525,66009,Villiers-le-Bel - Gonesse - Arnouville,Villiers-le-Bel - Gonesse - Arnouville
D,517,72323,Saint-Denis,Saint-Denis
D,489,411441,Creil,Creil
D,513,411422,Orry-la-Ville - Coye,Orry-la-Ville - Coye
D,500,62003,Le Mée,Le Mée
D,507,59470,Maisse,Maisse
D,528,63044,Yerres,Yerres
D,505,69300,Louvres,Louvres
D,485,62176,Cesson,Cesson
D,55,411486,Malesherbes,Malesherbes
D,495,60797,Grigny Centre,Grigny Centre
D,492,65582,Garges - Sarcelles,Garges - Sarcelles
D,522,60124,Villabé,Villabé
D,527,61850,Vosves,Vosves
D,508,61926,Melun,Melun
D,514,72787,Pierrefitte - Stains,Pierrefitte - Stains
D,520,69450,Survilliers - Fosses,Survilliers - Fosses
D,479,59420,Boigneville,Boigneville
D,519,72206,Stade de France Saint-Denis,Stade de France Saint-Denis
D,498,60422,Le Bras de Fer,Le Bras de Fer
D,491,422776,Essonnes Robinson,Essonnes Robinson
D,483,67476,Brunoy,Brunoy
D,530,60522,Évry - Val de Seine,Évry - Val de Seine
D,437,478505,Juvisy,Juvisy
D,336,474151,Châtelet - Les Halles,Châtelet - Les Halles
D,487,62558,Combs-la-Ville - Quincy,Combs-la-Ville - Quincy
D,480,61943,Boissise-le-Roi,Boissise-le-Roi
D,490,69950,Créteil Pompadour,Créteil Pompadour
D,501,60006,Le Plessis Chenet,Le Plessis Chenet
D,497,59661,La Ferté-Alais,La Ferté-Alais
