zdc,niveau,commentaire
66834,"train accessible sur réservation préalable auprès du service AssistenGare",
66696,"train accessible sur réservation préalable auprès du service AssistenGare",
62176,"train accessible sur réservation préalable auprès du service AssistenGare",
68980,"gare ou arrêt non accessible",
71347,"train accessible sur demande auprès d'un agent en station",
67352,"gare ou arrêt non accessible",
69503,"train accessible sur réservation préalable auprès du service AssistenGare",
411382,"gare ou arrêt non accessible",
69852,"train accessible sur réservation préalable auprès du service AssistenGare",
72244,"train accessible sur réservation préalable auprès du service AssistenGare",
62558,"train accessible sur réservation préalable auprès du service AssistenGare",
60309,"train accessible sur réservation préalable auprès du service AssistenGare",
65562,"véhicule accessible en toute autonomie",
60915,"train accessible sur réservation préalable auprès du service AssistenGare",
68653,"train accessible sur réservation préalable auprès du service AssistenGare",
422776,"gare ou arrêt non accessible",
60450,"train accessible sur réservation préalable auprès du service AssistenGare",
411489,"gare ou arrêt non accessible",
69647,"train accessible sur demande auprès d'un agent en station",
61579,"train accessible sur réservation préalable auprès du service AssistenGare",
61767,"gare ou arrêt non accessible",
63999,"gare ou arrêt non accessible",
66798,"gare ou arrêt non accessible",
65542,"gare ou arrêt non accessible",
59734,"gare ou arrêt non accessible",
71370,"train accessible sur réservation préalable auprès du service AssistenGare",
65582,"train accessible sur réservation préalable auprès du service AssistenGare",
70543,"train accessible sur demande auprès d'un agent en station",
62890,"train accessible sur demande auprès d'un agent en station",
65749,"véhicule accessible en toute autonomie",
59450,"gare ou arrêt non accessible",
73688,"train accessible sur réservation préalable auprès du service AssistenGare",
71150,"train accessible sur réservation préalable auprès du service AssistenGare",
411468,"gare ou arrêt non accessible",
478505,"train accessible sur réservation préalable auprès du service AssistenGare",
72598,"train accessible sur réservation préalable auprès du service AssistenGare",
69813,"train accessible sur demande auprès d'un agent en station",
411373,"gare ou arrêt non accessible",
72211,"train accessible sur réservation préalable auprès du service AssistenGare",
72998,"train accessible sur réservation préalable auprès du service AssistenGare",
73266,"train accessible sur réservation préalable auprès du service AssistenGare",
62804,"gare ou arrêt non accessible",
60006,"gare ou arrêt non accessible",
73297,"gare ou arrêt non accessible",
69622,"train accessible sur demande auprès d'un agent en station",
63240,"gare ou arrêt non accessible",
69662,"train accessible sur réservation préalable auprès du service AssistenGare",
72177,"train accessible sur réservation préalable auprès du service AssistenGare",
65788,"gare ou arrêt non accessible",
68123,"train accessible sur demande auprès d'un agent en station",
61858,"gare ou arrêt non accessible",
69300,"train accessible sur réservation préalable auprès du service AssistenGare",
478733,"train accessible sur réservation préalable auprès du service AssistenGare",
65048,"train accessible sur réservation préalable auprès du service AssistenGare",
65827,"gare ou arrêt non accessible",
59984,"gare ou arrêt non accessible",
63955,"train accessible sur réservation préalable auprès du service AssistenGare",
62351,"gare ou arrêt non accessible",
71269,"gare ou arrêt non accessible",
411391,"gare ou arrêt non accessible",
66436,"train accessible sur réservation préalable auprès du service AssistenGare",
67227,"gare ou arrêt non accessible",
73163,"train accessible sur demande auprès d'un agent en station",
412697,"train accessible sur demande auprès d'un agent en station",
66977,"gare ou arrêt non accessible",
462934,"train accessible sur réservation préalable auprès du service AssistenGare",
63067,"train accessible sur demande auprès d'un agent en station",
69906,"train accessible sur demande auprès d'un agent en station",
73568,"train accessible sur réservation préalable auprès du service AssistenGare",
71607,"gare ou arrêt non accessible",
64195,"gare ou arrêt non accessible",
71475,"train accessible sur réservation préalable auprès du service AssistenGare",
63886,"gare ou arrêt non accessible",
411327,"gare ou arrêt non accessible",
71422,"train accessible sur réservation préalable auprès du service AssistenGare",
60839,"gare ou arrêt non accessible",
70902,"train accessible sur demande auprès d'un agent en station",
59882,"gare ou arrêt non accessible",
64589,"train accessible sur demande auprès d'un agent en station",
61423,"gare ou arrêt non accessible",
64382,"train accessible sur réservation préalable auprès du service AssistenGare",
72126,"train accessible sur réservation préalable auprès du service AssistenGare",
62978,"train accessible sur demande auprès d'un agent en station",
67196,"gare ou arrêt non accessible",
73439,"train accessible sur réservation préalable auprès du service AssistenGare",
69450,"train accessible sur réservation préalable auprès du service AssistenGare",
411339,"gare ou arrêt non accessible",
463843,"gare ou arrêt non accessible",
71718,"gare ou arrêt non accessible","Ligne A accessible sur demande auprès d'un agent en station. Ligne E non accessible."
74127,"gare ou arrêt non accessible",
65691,"train accessible sur réservation préalable auprès du service AssistenGare",
61450,"gare ou arrêt non accessible",
411465,"gare ou arrêt non accessible",
63923,"train accessible sur réservation préalable auprès du service AssistenGare",
69554,"gare ou arrêt non accessible",
73699,"train accessible sur réservation préalable auprès du service AssistenGare",
59403,"gare ou arrêt non accessible",
478926,"train accessible sur demande auprès d'un agent en station",
65490,"gare ou arrêt non accessible",
71286,"train accessible sur réservation préalable auprès du service AssistenGare",
69528,"gare ou arrêt non accessible",
63404,"gare ou arrêt non accessible",
59420,"gare ou arrêt non accessible",
61943,"gare ou arrêt non accessible",
72037,"train accessible sur réservation préalable auprès du service AssistenGare",
70033,"train accessible sur demande auprès d'un agent en station",
61318,"gare ou arrêt non accessible",
59565,"gare ou arrêt non accessible",
67325,"gare ou arrêt non accessible",
65443,"gare ou arrêt non accessible",
411346,"gare ou arrêt non accessible",
68407,"train accessible sur réservation préalable auprès du service AssistenGare",
73605,"train accessible sur réservation préalable auprès du service AssistenGare",
67920,"train accessible sur réservation préalable auprès du service AssistenGare",
69435,"gare ou arrêt non accessible",
59836,"train accessible sur réservation préalable auprès du service AssistenGare",
66533,"gare ou arrêt non accessible",
67897,"train accessible sur réservation préalable auprès du service AssistenGare",
72383,"train accessible sur réservation préalable auprès du service AssistenGare",
65669,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie. Lignes J et C accessibles sur réservation préalable auprès du service Accès Plus Transilien."
60522,"gare ou arrêt non accessible",
67917,"gare ou arrêt non accessible",
65732,"gare ou arrêt non accessible",
74348,"gare ou arrêt non accessible",
60797,"train accessible sur réservation préalable auprès du service AssistenGare",
70612,"gare ou arrêt non accessible",
63523,"gare ou arrêt non accessible",
65360,"véhicule accessible en toute autonomie",
72148,"train accessible sur réservation préalable auprès du service AssistenGare",
62825,"train accessible sur demande auprès d'un agent en station",
72641,"train accessible sur réservation préalable auprès du service AssistenGare",
70064,"gare ou arrêt non accessible",
73098,"train accessible sur réservation préalable auprès du service AssistenGare",
73096,"gare ou arrêt non accessible",
73625,"train accessible sur réservation préalable auprès du service AssistenGare",
59470,"gare ou arrêt non accessible",
67604,"gare ou arrêt non accessible",
64405,"train accessible sur réservation préalable auprès du service AssistenGare",
68385,"train accessible sur demande auprès d'un agent en station",
67065,"gare ou arrêt non accessible",
70515,"gare ou arrêt non accessible",
411483,"gare ou arrêt non accessible",
61414,"train accessible sur réservation préalable auprès du service AssistenGare",
67076,"gare ou arrêt non accessible",
61327,"gare ou arrêt non accessible",
67000,"véhicule accessible en toute autonomie",
70945,"train accessible sur demande auprès d'un agent en station",
69072,"gare ou arrêt non accessible",
73190,"train accessible sur demande auprès d'un agent en station",
64945,"gare ou arrêt non accessible",
71590,"train accessible sur demande auprès d'un agent en station",
72041,"train accessible sur réservation préalable auprès du service AssistenGare",
69639,"gare ou arrêt non accessible",
72421,"train accessible sur réservation préalable auprès du service AssistenGare",
71453,"train accessible sur réservation préalable auprès du service AssistenGare",
66491,"gare ou arrêt non accessible",
74002,"train accessible sur réservation préalable auprès du service AssistenGare",
61976,"gare ou arrêt non accessible",
66816,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie. Lignes C et J accessibles sur réservation préalable auprès du service Accès Plus Transilien."
71106,"train accessible sur demande auprès d'un agent en station",
62139,"gare ou arrêt non accessible",
426280,"gare ou arrêt non accessible",
71935,"train accessible sur réservation préalable auprès du service AssistenGare",
69633,"gare ou arrêt non accessible",
72323,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie et  ligne D  assistance nécessaire pour les clients en FR afin d’accéder aux trains."
60785,"train accessible sur réservation préalable auprès du service AssistenGare",
70393,"train accessible sur demande auprès d'un agent en station",
66659,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie. Ligne C accessible sur réservation préalable auprès du service Accès Plus Transilien."
63812,"train accessible sur réservation préalable auprès du service AssistenGare",
66079,"véhicule accessible en toute autonomie",
74265,"train accessible sur demande auprès d'un agent en station",
70686,"train accessible sur réservation préalable auprès du service AssistenGare",
463754,"train accessible sur réservation préalable auprès du service AssistenGare",
61094,"gare ou arrêt non accessible",
