ligne,desserte_id,station
13,353,"Guy Môquet"
13,354,"La Fourche"
13,355,"Place de Clichy"
13,356,Liège
13,357,Saint-Lazare
13,358,Miromesnil
13,359,"Champs-Élysées — Clemenceau"
13,360,Invalides
13,361,Varenne
13,362,Saint-François-Xavier
13,363,Duroc
13,364,"Montparnasse — Bienvenüe"
13,365,Gaîté
13,366,Pernety
13,367,Plaisance
13,368,"Porte de Vanves"
13,369,"Malakoff — Plateau de Vanves"
13,370,"Malakoff — Rue Étienne Dolet"
13,371,"Châtillon — Montrouge"
14,372,"Saint-Denis — Pleyel"
14,373,"Mairie de Saint-Ouen"
14,374,Saint-Ouen
14,375,"Porte de Clichy"
14,376,"Pont Cardinet"
14,377,Saint-Lazare
14,378,Madeleine
14,379,Pyramides
14,380,Châtelet
14,381,"Gare de Lyon"
14,382,Bercy
14,383,"Cour Saint-Émilion"
14,384,"Bibliothèque François Mitterrand"
14,385,Olympiades
14,386,"Maison Blanche"
14,387,"Hôpital Bicêtre"
14,388,"Villejuif — Gustave Roussy"
14,389,L'Haÿ-les-Roses
14,390,Chevilly-Larue
14,391,"Thiais — Orly"
14,392,"Aéroport d'Orly"
